"site_group","swab_type2","mean_rank","median_rank"
"Antecubital","Omni",2.33333333333333,2
"Antecubital","Puritan_buffer",2.33333333333333,1.66666666666667
"Antecubital","Copan",2.73333333333333,3
"Antecubital","Puritan_gel",3.8,4
"Antecubital","Eswab",3.8,3.33333333333333
"Forehead","Puritan_buffer",2.6,3
"Forehead","Puritan_gel",2.6,2.33333333333333
"Forehead","Copan",2.8,2.66666666666667
"Forehead","Eswab",3.46666666666667,4
"Forehead","Omni",3.53333333333333,3.33333333333333
