"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id","Genus"
FALSE,TRUE,FALSE,FALSE,FALSE,"2e9cafa6d587316096144e3d099fb30a","Incertae_Sedis"
TRUE,FALSE,TRUE,FALSE,FALSE,"a0cd40d7714e666b1d764840b3cdf319","Clostridia_UCG-014"
FALSE,TRUE,FALSE,FALSE,TRUE,"f7c6068b3dede3a9d48719319aa5cc1e","Dorea"
FALSE,TRUE,FALSE,TRUE,TRUE,"17a056ac493560449848261b2f51d68f","Oribacterium"
TRUE,FALSE,TRUE,TRUE,FALSE,"0cdb0219ef84707001971bd8592d6a11","Lachnospiraceae_NK4A136_group"
FALSE,TRUE,FALSE,FALSE,FALSE,"69ff34f58e584c0b1b02a7bcfdf855fd","Lachnoanaerobaculum"
TRUE,TRUE,TRUE,TRUE,TRUE,"72558b780028629aa73abc3c75849338","Anaerococcus"
FALSE,FALSE,TRUE,FALSE,FALSE,"15287379f901b0787b04f6432a2f8bcf","Fenollaria"
TRUE,TRUE,TRUE,TRUE,TRUE,"f3c298b72522fa8756d13ae50332f012","Finegoldia"
TRUE,TRUE,TRUE,TRUE,TRUE,"f62c486b44892e1e1254d83edcef4f0b","Parvimonas"
FALSE,TRUE,FALSE,FALSE,FALSE,"545e02d32bf168637a36e7689eb58894","Ezakiella"
TRUE,FALSE,TRUE,FALSE,FALSE,"3647fcaddec766838b3532f38d53e49b","Family_XI_f"
FALSE,TRUE,FALSE,FALSE,FALSE,"029c76efcff7044afc7a4d56e859c483","Tissierella"
TRUE,TRUE,TRUE,TRUE,TRUE,"e7a499f9a323eb7371e4433ae24c2ba5","Peptoniphilus"
FALSE,FALSE,TRUE,TRUE,FALSE,"ff4a81e61c87662b972b90e3ab36e375","[Eubacterium]_saphenum_group"
TRUE,TRUE,TRUE,TRUE,TRUE,"fe3c004d8197f1b22882116b5be2deda","Mogibacterium"
FALSE,FALSE,TRUE,TRUE,TRUE,"fab4e6f2ff0d67c9da977d16fc3cb422","[Eubacterium]_nodatum_group"
