"variable","Df","R2","F","p_value","permutations","subject_blocked"
"subject_id",4,0.450611212024801,9.22730176923059,1e-04,9999,FALSE
"site_group",1,0.266876495426932,17.4732793323175,1e-04,9999,TRUE
"swab_type2",4,0.0256630941030382,0.296314146484472,0.7813,9999,TRUE
"Swab_material",3,0.0240746209113301,0.378250422846646,0.6278,9999,TRUE
"Collection_medium",3,0.0133843973430475,0.208011534962605,0.8567,9999,TRUE
