"subset","retained_genera","shared_by_all_five_genera","total_reads","reads_from_shared_genera","shared_genus_relative_abundance_pct"
"Total",247,54,843691,822530,97.4918542452154
"Antecubital fossa",201,45,401682,384237,95.6570122634323
"Forehead",154,26,442009,430605,97.4199620369721
