"subset","retained_asvs","shared_by_all_five_asvs","total_reads","reads_from_shared_asvs","shared_asv_relative_abundance_pct"
"Total",1780,119,847074,731295,86.3318907202913
"Antecubital fossa",1348,95,404034,315975,78.205052050075
"Forehead",788,34,443040,389855,87.9954405922716
