"variable","Df","R2","F","p_value","permutations","subject_blocked"
"subject_id",4,0.434286087368643,8.63637675123074,1e-04,9999,FALSE
"site_group",1,0.274243002941913,18.1378397928946,1e-04,9999,TRUE
"swab_type2",4,0.0244430263905838,0.281873898022242,0.8027,9999,TRUE
"Swab_material",3,0.0229617390395085,0.360354361414343,0.6564,9999,TRUE
"Collection_medium",3,0.012715915499661,0.1974886195937,0.8662,9999,TRUE
