"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id","Genus"
FALSE,FALSE,TRUE,FALSE,TRUE,"026a1823043132ceb767cb524b84af87","Eremococcus"
FALSE,FALSE,FALSE,FALSE,TRUE,"20c71ebbcfbabf45f16036be051b7769","Gemella"
FALSE,FALSE,FALSE,TRUE,FALSE,"f0a2510f876ac61a2018bf5abf3db6a2","Dubosiella"
TRUE,FALSE,FALSE,FALSE,FALSE,"9ae36e9a8e7cceb827cfd1fa46652a45","Veillonella"
FALSE,FALSE,FALSE,TRUE,FALSE,"f701cbc5da10b2d9cba3b0728f832f73","AKYG1722"
TRUE,TRUE,TRUE,TRUE,FALSE,"74aa557dd13c317520912ce37b152b31","JG30-KF-CM45"
TRUE,TRUE,FALSE,FALSE,FALSE,"7db7de8a510d8e855bc4f30b30e33de0","Treponema"
FALSE,FALSE,TRUE,FALSE,FALSE,"e863f60c2b404781ce435283c0b37574","Calothrix_PCC-6303"
FALSE,FALSE,TRUE,FALSE,FALSE,"858b9292b21db7fe07ea3cc766b912dc","Taibaiella"
TRUE,TRUE,FALSE,FALSE,FALSE,"94ba1d038ff0bdf31a29042ca50df39d","Haoranjiania"
FALSE,TRUE,FALSE,FALSE,FALSE,"ae7508e0c0f5db07a8e8242c6148c34d","Lacibacter"
FALSE,TRUE,FALSE,FALSE,FALSE,"b4cc697fe846f736906b4d261b088dfd","Hymenobacter"
FALSE,FALSE,FALSE,FALSE,TRUE,"de2b4b14636d09e2d4611f822ab82457","Bacteroidia_c"
TRUE,TRUE,TRUE,FALSE,FALSE,"b230581a663e0797c9116d2661cab125","Sphingobacterium"
FALSE,FALSE,TRUE,TRUE,FALSE,"4ca87931296e46e2741cdfd5d76d51e4","Pedobacter"
TRUE,TRUE,FALSE,FALSE,FALSE,"fe278eabfc85664fcf6e9acd8162be2d","Porphyromonas"
FALSE,TRUE,TRUE,FALSE,FALSE,"93e5a7a097bc4ddfb97c9908b7e32efd","Prevotellaceae_f"
FALSE,TRUE,FALSE,FALSE,FALSE,"50a12e0b6a6399f107bdfcadc93a8cc4","Prevotella"
TRUE,FALSE,FALSE,FALSE,FALSE,"300837fe392a9506546f1970bd365d4b","Prevotella_7"
TRUE,FALSE,FALSE,TRUE,FALSE,"05fcdbf22abe66e94b0ede4dfd85ca1e","Alloprevotella"
TRUE,FALSE,TRUE,FALSE,TRUE,"b765346d065e508c6263c505decbb3f2","Muribaculaceae"
FALSE,TRUE,FALSE,FALSE,FALSE,"1422aef8849148a9b52ce185862dc22f","Capnocytophaga"
FALSE,FALSE,TRUE,FALSE,FALSE,"1a7e4f61cb855f1cf44b93f02d1e46e3","Flavobacterium"
FALSE,FALSE,TRUE,FALSE,FALSE,"b9879da874f023629c4384ada519ba98","Fluviicola"
TRUE,TRUE,TRUE,TRUE,TRUE,"41fbe47dd5c90d3ffeac5d5f7c2cc30d","Chryseobacterium"
FALSE,FALSE,FALSE,FALSE,TRUE,"dc9e2860e3fa93f9e4bf136144d697d6","Weeksellaceae_f"
FALSE,TRUE,TRUE,FALSE,FALSE,"fe00e9dc2b0d57671c5d87b12972291f","Cloacibacterium"
FALSE,FALSE,TRUE,FALSE,FALSE,"205b8ebbe28117767c6974e1c4e05f03","LWQ8"
TRUE,FALSE,FALSE,TRUE,FALSE,"d233b6edb8f37e7f43a781f4ed7c7a7e","Saccharimonadales_o"
TRUE,TRUE,FALSE,TRUE,TRUE,"b76595ac6cd24bb842f1374a9733e373","Saccharimonadales"
TRUE,FALSE,FALSE,FALSE,FALSE,"d28702f527ca84119434a5d089dea094","TM7x"
FALSE,TRUE,FALSE,FALSE,FALSE,"92981a4f9e607d7f28d045957da39fcf","Saccharimonadaceae_f"
FALSE,FALSE,TRUE,FALSE,TRUE,"d4841fd1d61b4703cdd6ce863db17fea","Saccharimonadaceae"
TRUE,TRUE,TRUE,TRUE,TRUE,"85c44a334114a5e2ca8dbe7d74e191d7","TM7a"
TRUE,TRUE,TRUE,TRUE,TRUE,"303f5cdac869c2dc02db6ebe1323e12a","Deinococcus"
FALSE,FALSE,FALSE,FALSE,TRUE,"a433a2d87737d2dbf73ad13321f67911","Thermus"
FALSE,FALSE,FALSE,TRUE,FALSE,"a1e2b28fb788c9542caf556c169bd434","Hyphomicrobium"
FALSE,FALSE,TRUE,TRUE,FALSE,"a47b8216f72af411c683bfe0846aa555","Pedomicrobium"
TRUE,TRUE,TRUE,FALSE,TRUE,"b0ce3a4407f76fe40d761ea266b304ff","Microvirga"
TRUE,FALSE,TRUE,FALSE,TRUE,"d8a7df9e8bf0ac6efceee3f0424a5090","Beijerinckiaceae_f"
FALSE,TRUE,FALSE,FALSE,FALSE,"b66b3e7d5986ed8721f7bd4f6538105c","1174-901-12"
TRUE,TRUE,TRUE,TRUE,TRUE,"5dac0955f00d983d7557e718591f0f42","Methylobacterium-Methylorubrum"
FALSE,FALSE,FALSE,FALSE,TRUE,"fa5d10d0f5b3457021cf635a8268b986","Bosea"
FALSE,TRUE,FALSE,FALSE,FALSE,"87a6bbed6ceb02ec381f45db5ed37984","Afipia"
FALSE,TRUE,FALSE,TRUE,TRUE,"75867d7a16d9647ce25057cc21524cd3","Xanthobacteraceae_f"
FALSE,FALSE,FALSE,TRUE,FALSE,"b7efbc42c9ff68fc2a12b5046976cfe6","Psychroglaciecola"
FALSE,FALSE,FALSE,FALSE,TRUE,"719f736c916092f6d392c5a46e1091ea","Hyphomonadaceae_f"
FALSE,TRUE,FALSE,TRUE,TRUE,"8f120cf4ec104620d09446cdfbd8b7e9","Caulobacteraceae_f"
FALSE,FALSE,FALSE,TRUE,FALSE,"0adf67a3e396926259316a14f66e7ca1","Brevundimonas"
TRUE,TRUE,FALSE,FALSE,TRUE,"e04521050f0d75fa388bddc4f2f34e56","Caulobacter"
FALSE,TRUE,TRUE,FALSE,FALSE,"d31a407f8ea48b0ffb218c273e96aca7","Phenylobacterium"
FALSE,FALSE,FALSE,FALSE,TRUE,"54581694fce0637591ea45b0eff658f0","Rhodobacteraceae_f"
TRUE,TRUE,TRUE,TRUE,FALSE,"65c9fb2233a8c0d21e99ba69d13d1e6d","Haematobacter"
FALSE,FALSE,TRUE,FALSE,FALSE,"cec2b7d32bc35658a948ffb4c0357677","Amaricoccus"
