"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id","Genus"
TRUE,TRUE,TRUE,TRUE,TRUE,"dc4c06e76c80792a6dd6a5170e96a392","Streptococcus"
FALSE,FALSE,TRUE,TRUE,TRUE,"e075d7d3b6ae899ef1e8ccba4cd5114e","Lactococcus"
TRUE,TRUE,TRUE,TRUE,TRUE,"46ec4ed0a75b0fcf231f1e4ff262fa8d","P5D1-392"
FALSE,FALSE,FALSE,TRUE,FALSE,"ee5be990233f99eded70433e365148ee","Lactobacillales_o"
FALSE,FALSE,TRUE,FALSE,FALSE,"d0bbb3cf6f8c4d7a6fdd6a81d94daa81","Marinilactibacillus"
FALSE,FALSE,FALSE,FALSE,TRUE,"33a4b160e1f1411ea02ae36df2dcc388","Alkalibacterium"
TRUE,TRUE,FALSE,TRUE,TRUE,"3f23ceb1ef108f7ce9cc7e5665c1f6af","Atopostipes"
TRUE,FALSE,FALSE,TRUE,FALSE,"f72abff20162a869f7fb14c9b9468835","Jeotgalicoccus"
TRUE,TRUE,TRUE,TRUE,TRUE,"28791a195fb16e432f328fc38c217a16","Staphylococcus"
FALSE,TRUE,FALSE,TRUE,FALSE,"34f93d4b535472fbbe0ae88becfe4254","Fictibacillus"
TRUE,TRUE,TRUE,TRUE,TRUE,"bb22e6d2b4e7939ff1edc50cab5c9130","Bacillus"
TRUE,TRUE,FALSE,FALSE,FALSE,"ec838891faa3317f3afcd2d38b4e1923","Bacillaceae_f"
TRUE,FALSE,FALSE,FALSE,FALSE,"28e82ac50faab22d9428d78c36181743","Hydrogenispora"
TRUE,FALSE,FALSE,FALSE,FALSE,"050d46a27980fc3cbc7f1a3d04b66b12","Planococcaceae_f"
FALSE,TRUE,TRUE,TRUE,FALSE,"126f3c073f21d6632d9d256142537db3","Sporosarcina"
TRUE,TRUE,TRUE,TRUE,FALSE,"b237acb7c9ea317b7038f24d96d5d302","Anoxybacillus"
FALSE,FALSE,FALSE,FALSE,TRUE,"cca62ce55fa1104839106ebc7d1a7667","Paenibacillus"
TRUE,FALSE,FALSE,FALSE,FALSE,"4ceaf0eaf760e1d547cc7b69a0caf8af","Leuconostoc"
TRUE,FALSE,FALSE,FALSE,FALSE,"c16345411b2428ad706dd067e17bd77d","Facklamia"
TRUE,TRUE,TRUE,TRUE,TRUE,"026a1823043132ceb767cb524b84af87","Eremococcus"
FALSE,TRUE,TRUE,TRUE,TRUE,"20c71ebbcfbabf45f16036be051b7769","Gemella"
TRUE,FALSE,FALSE,FALSE,FALSE,"f0a2510f876ac61a2018bf5abf3db6a2","Dubosiella"
FALSE,FALSE,FALSE,FALSE,TRUE,"59ef38dc6b706ebe3087a9c3c12872bd","Sporomusa"
TRUE,TRUE,TRUE,TRUE,TRUE,"74aa557dd13c317520912ce37b152b31","JG30-KF-CM45"
TRUE,FALSE,FALSE,FALSE,FALSE,"0b2fe4fb7db539ff9a4fa9d27c0faa62","Nodosilinea_PCC-7104"
FALSE,FALSE,FALSE,TRUE,FALSE,"8459d7cb3a2b19a181aa31512f398869","EcFYyy-200"
FALSE,FALSE,TRUE,TRUE,FALSE,"45e3f3f280507375f3d96c07e56be4c3","Pleurocapsa_PCC-7319"
FALSE,FALSE,FALSE,FALSE,TRUE,"1dd2d03bf672608a258cb4ef5543cad2","Cyanobacteriales_o"
FALSE,FALSE,TRUE,TRUE,TRUE,"47197ee817bb57421f861e8b877e0588","Chroococcidiopsaceae_f"
FALSE,FALSE,FALSE,TRUE,FALSE,"e863f60c2b404781ce435283c0b37574","Calothrix_PCC-6303"
FALSE,FALSE,FALSE,TRUE,FALSE,"35527ffa9f44ebbf586ab787211da1c3","Dyadobacter"
FALSE,FALSE,FALSE,TRUE,FALSE,"a67325486802911e948473f4b8b71ebe","Spirosoma"
FALSE,FALSE,FALSE,TRUE,FALSE,"1813a356c899840a7219062a1a3f47b5","Spirosomaceae_f"
TRUE,FALSE,FALSE,FALSE,FALSE,"b230581a663e0797c9116d2661cab125","Sphingobacterium"
FALSE,FALSE,FALSE,TRUE,FALSE,"ad490013f6967a5e303129f81df260cb","Nubsella"
TRUE,TRUE,TRUE,TRUE,FALSE,"93e5a7a097bc4ddfb97c9908b7e32efd","Prevotellaceae_f"
TRUE,TRUE,FALSE,TRUE,TRUE,"50a12e0b6a6399f107bdfcadc93a8cc4","Prevotella"
TRUE,FALSE,FALSE,FALSE,FALSE,"300837fe392a9506546f1970bd365d4b","Prevotella_7"
FALSE,FALSE,FALSE,TRUE,FALSE,"88098ab3f8048c851897dbd0bcb5cb7d","Prevotellaceae_UCG-001"
TRUE,FALSE,FALSE,FALSE,FALSE,"05fcdbf22abe66e94b0ede4dfd85ca1e","Alloprevotella"
TRUE,TRUE,TRUE,FALSE,FALSE,"b765346d065e508c6263c505decbb3f2","Muribaculaceae"
FALSE,FALSE,FALSE,TRUE,FALSE,"a7d73d00201f5dfac32d5042e3aa7039","Rikenellaceae_RC9_gut_group"
TRUE,FALSE,FALSE,TRUE,FALSE,"13fb1106cb988b93d742c82bb067cd7c","Alistipes"
FALSE,TRUE,FALSE,FALSE,FALSE,"1422aef8849148a9b52ce185862dc22f","Capnocytophaga"
TRUE,FALSE,FALSE,FALSE,FALSE,"1a7e4f61cb855f1cf44b93f02d1e46e3","Flavobacterium"
TRUE,FALSE,FALSE,FALSE,FALSE,"2f7ab09df42772d54308dfa6e66bdfd0","Empedobacter"
TRUE,FALSE,FALSE,FALSE,FALSE,"c267dc0912cbc6475bb64ff0f47644b0","Bergeyella"
TRUE,TRUE,TRUE,TRUE,FALSE,"41fbe47dd5c90d3ffeac5d5f7c2cc30d","Chryseobacterium"
TRUE,TRUE,FALSE,FALSE,FALSE,"fe00e9dc2b0d57671c5d87b12972291f","Cloacibacterium"
FALSE,FALSE,TRUE,TRUE,TRUE,"205b8ebbe28117767c6974e1c4e05f03","LWQ8"
TRUE,FALSE,TRUE,TRUE,FALSE,"d233b6edb8f37e7f43a781f4ed7c7a7e","Saccharimonadales_o"
FALSE,TRUE,TRUE,TRUE,TRUE,"b76595ac6cd24bb842f1374a9733e373","Saccharimonadales"
TRUE,FALSE,FALSE,TRUE,TRUE,"d4841fd1d61b4703cdd6ce863db17fea","Saccharimonadaceae"
TRUE,TRUE,TRUE,TRUE,TRUE,"85c44a334114a5e2ca8dbe7d74e191d7","TM7a"
TRUE,TRUE,TRUE,TRUE,TRUE,"303f5cdac869c2dc02db6ebe1323e12a","Deinococcus"
TRUE,FALSE,FALSE,TRUE,FALSE,"a433a2d87737d2dbf73ad13321f67911","Thermus"
FALSE,FALSE,TRUE,FALSE,FALSE,"0535f4bb8a671a91b7c6080f796b0bc0","JGI_0000069-P22"
FALSE,FALSE,FALSE,TRUE,FALSE,"3d321b478b7fd39dc8ac6c68a827a622","Arcobacter"
TRUE,FALSE,FALSE,FALSE,FALSE,"d127837f1b6ab3f7bdad8d8d125f0b08","Helicobacter"
FALSE,TRUE,FALSE,TRUE,FALSE,"926726e3e0db3f70863c3e8a1f495968","Candidatus_Alysiosphaera"
FALSE,TRUE,FALSE,TRUE,FALSE,"8565dacf1db3e048ac63f478454923c7","Nordella"
FALSE,FALSE,TRUE,FALSE,FALSE,"a6a5c75bcf40728c389d91b17e569cb0","Reyranella"
FALSE,FALSE,FALSE,TRUE,FALSE,"a1e2b28fb788c9542caf556c169bd434","Hyphomicrobium"
TRUE,TRUE,TRUE,FALSE,FALSE,"a47b8216f72af411c683bfe0846aa555","Pedomicrobium"
FALSE,FALSE,TRUE,FALSE,FALSE,"4ed1aaefaefe8f38b7f6a4c1fd82d1ba","Hyphomicrobiaceae_f"
TRUE,FALSE,FALSE,TRUE,FALSE,"b733b3851a774a99efd0dd4c1d92054c","Phreatobacter"
FALSE,FALSE,TRUE,FALSE,FALSE,"302bf7a5ed63144059d0db8f906a743f","Amb-16S-1323"
TRUE,TRUE,FALSE,FALSE,FALSE,"8ada8a5b8f21a7dc546f16c295fd64f4","Pseudorhodoplanes"
TRUE,TRUE,TRUE,TRUE,TRUE,"b0ce3a4407f76fe40d761ea266b304ff","Microvirga"
TRUE,TRUE,TRUE,TRUE,TRUE,"d8a7df9e8bf0ac6efceee3f0424a5090","Beijerinckiaceae_f"
FALSE,TRUE,FALSE,FALSE,FALSE,"be765e929e8c9e7845dc8abd26cbda3e","28-YEA-48"
FALSE,FALSE,FALSE,FALSE,TRUE,"b66b3e7d5986ed8721f7bd4f6538105c","1174-901-12"
TRUE,TRUE,TRUE,TRUE,TRUE,"5dac0955f00d983d7557e718591f0f42","Methylobacterium-Methylorubrum"
TRUE,TRUE,TRUE,TRUE,TRUE,"fa5d10d0f5b3457021cf635a8268b986","Bosea"
FALSE,FALSE,TRUE,TRUE,FALSE,"a354591ad123e5f645c3694abf4089f4","Rhodopseudomonas"
TRUE,TRUE,TRUE,TRUE,TRUE,"75867d7a16d9647ce25057cc21524cd3","Xanthobacteraceae_f"
TRUE,FALSE,FALSE,FALSE,FALSE,"1c5d6c2c9b4a7166c7cb496fca023c12","Bradyrhizobium"
FALSE,FALSE,FALSE,TRUE,TRUE,"b7efbc42c9ff68fc2a12b5046976cfe6","Psychroglaciecola"
FALSE,TRUE,FALSE,FALSE,FALSE,"b90d5c735e4f9bea8175e5eabfd3caab","Asticcacaulis"
FALSE,FALSE,TRUE,TRUE,TRUE,"8f120cf4ec104620d09446cdfbd8b7e9","Caulobacteraceae_f"
