"subset","retained_genera","shared_by_all_five_genera","total_reads","reads_from_shared_genera","shared_genus_relative_abundance_pct"
"Total",344,59,847074,825080,97.4035326311515
"Antecubital fossa",278,48,404034,385808,95.488993500547
"Forehead",211,29,443040,431552,97.4070061394005
