"subset","retained_asvs","shared_by_all_five_asvs","total_reads","reads_from_shared_asvs","shared_asv_relative_abundance_pct"
"Total",1855,119,847149,731295,86.324247564478
"Antecubital fossa",1396,95,404082,315975,78.1957622462767
"Forehead",815,34,443067,389855,87.9900782500164
