"subset","retained_genera","shared_by_all_five_genera","total_reads","reads_from_shared_genera","shared_genus_relative_abundance_pct"
"Total",347,59,847149,825132,97.4010475134835
"Antecubital fossa",282,48,404082,385842,95.4860647096381
"Forehead",214,29,443067,431568,97.4046814590118
