"distance","comparison","pair_count","median","q1","q3","mean","sd"
"bray_curtis","Between participants: same site and system",100,0.834155888359428,0.648740639891082,0.943541524846835,0.74783185840708,0.255418918665259
"bray_curtis","Within participant-site: different systems",100,0.419588155207624,0.181883934649421,0.569349897889721,0.381465282505106,0.229189632752151
"bray_curtis","Within participant: different sites, same system",25,0.728727025187202,0.62644656228727,0.907590197413206,0.706657590197413,0.216913353265797
"unweighted_unifrac","Between participants: same site and system",100,0.71110270178191,0.6344170576189,0.782352435543678,0.711916677020781,0.100711778821604
"unweighted_unifrac","Within participant-site: different systems",100,0.556266536786253,0.50299317065567,0.630673186309117,0.558936046232639,0.118463834246916
"unweighted_unifrac","Within participant: different sites, same system",25,0.69004974004286,0.614919014120594,0.745582893589761,0.677885930773325,0.0844212405014515
"weighted_unifrac","Between participants: same site and system",100,0.530139555507943,0.384361378373446,0.670881862873733,0.508168821147693,0.212161799296499
"weighted_unifrac","Within participant-site: different systems",100,0.189184610556278,0.0951097296351749,0.265533832921851,0.19632589927357,0.127982979633065
"weighted_unifrac","Within participant: different sites, same system",25,0.517060574140611,0.417783183708329,0.64611962682659,0.515026129273056,0.163786533727771
