"sample_1","sample_2","dissimilarity","distance","subject_1","site_1","system_1","subject_2","site_2","system_2","comparison"
"001AcLUSw_4","004AcLUSw_4",0.765862852673615,"unweighted_unifrac","S001","Antecubital","Omni","S004","Antecubital","Omni","Between participants: same site and system"
"002AcLUSw_4","004AcLUSw_4",0.77175905295878,"unweighted_unifrac","S002","Antecubital","Omni","S004","Antecubital","Omni","Between participants: same site and system"
"003AcLUSw_4","004AcLUSw_4",0.686161281876468,"unweighted_unifrac","S003","Antecubital","Omni","S004","Antecubital","Omni","Between participants: same site and system"
"004AcCUSw","004AcLUSw_4",0.592932884302756,"unweighted_unifrac","S004","Antecubital","Eswab","S004","Antecubital","Omni","Within participant-site: different systems"
"004AcLUSw_3","004AcLUSw_4",0.483195175836897,"unweighted_unifrac","S004","Antecubital","Puritan_buffer","S004","Antecubital","Omni","Within participant-site: different systems"
"001AcRUSw_1","004AcRUSw_1",0.811467351583692,"unweighted_unifrac","S001","Antecubital","Copan","S004","Antecubital","Copan","Between participants: same site and system"
"002AcRUSw_1","004AcRUSw_1",0.804737216485526,"unweighted_unifrac","S002","Antecubital","Copan","S004","Antecubital","Copan","Between participants: same site and system"
"003AcRUSw_1","004AcRUSw_1",0.674431668894628,"unweighted_unifrac","S003","Antecubital","Copan","S004","Antecubital","Copan","Between participants: same site and system"
"004AcCUSw","004AcRUSw_1",0.517895126105852,"unweighted_unifrac","S004","Antecubital","Eswab","S004","Antecubital","Copan","Within participant-site: different systems"
"004AcLUSw_3","004AcRUSw_1",0.499904810625888,"unweighted_unifrac","S004","Antecubital","Puritan_buffer","S004","Antecubital","Copan","Within participant-site: different systems"
"004AcLUSw_4","004AcRUSw_1",0.531319615765941,"unweighted_unifrac","S004","Antecubital","Omni","S004","Antecubital","Copan","Within participant-site: different systems"
"001AcRUSw_2","004AcRUSw_2",0.705285959390426,"unweighted_unifrac","S001","Antecubital","Puritan_gel","S004","Antecubital","Puritan_gel","Between participants: same site and system"
"002AcRUSw_2","004AcRUSw_2",0.719139681729894,"unweighted_unifrac","S002","Antecubital","Puritan_gel","S004","Antecubital","Puritan_gel","Between participants: same site and system"
"003AcRUSw_2","004AcRUSw_2",0.838126222824761,"unweighted_unifrac","S003","Antecubital","Puritan_gel","S004","Antecubital","Puritan_gel","Between participants: same site and system"
"004AcCUSw","004AcRUSw_2",0.578308917355525,"unweighted_unifrac","S004","Antecubital","Eswab","S004","Antecubital","Puritan_gel","Within participant-site: different systems"
"004AcLUSw_3","004AcRUSw_2",0.498465891078352,"unweighted_unifrac","S004","Antecubital","Puritan_buffer","S004","Antecubital","Puritan_gel","Within participant-site: different systems"
"004AcLUSw_4","004AcRUSw_2",0.47710984835781,"unweighted_unifrac","S004","Antecubital","Omni","S004","Antecubital","Puritan_gel","Within participant-site: different systems"
"004AcRUSw_1","004AcRUSw_2",0.480879359493016,"unweighted_unifrac","S004","Antecubital","Copan","S004","Antecubital","Puritan_gel","Within participant-site: different systems"
"001FhCUSw","004FhCUSw",0.706936351909821,"unweighted_unifrac","S001","Forehead","Eswab","S004","Forehead","Eswab","Between participants: same site and system"
"002FhCUSw","004FhCUSw",0.783696138242763,"unweighted_unifrac","S002","Forehead","Eswab","S004","Forehead","Eswab","Between participants: same site and system"
"003FhCUSw","004FhCUSw",0.70205054688773,"unweighted_unifrac","S003","Forehead","Eswab","S004","Forehead","Eswab","Between participants: same site and system"
"004AcCUSw","004FhCUSw",0.635166164982064,"unweighted_unifrac","S004","Antecubital","Eswab","S004","Forehead","Eswab","Within participant: different sites, same system"
"001FhLUSw_3","004FhLUSw_3",0.868675818674155,"unweighted_unifrac","S001","Forehead","Puritan_buffer","S004","Forehead","Puritan_buffer","Between participants: same site and system"
"002FhLUSw_3","004FhLUSw_3",0.832168967413776,"unweighted_unifrac","S002","Forehead","Puritan_buffer","S004","Forehead","Puritan_buffer","Between participants: same site and system"
"003FhLUSw_3","004FhLUSw_3",0.875722417724684,"unweighted_unifrac","S003","Forehead","Puritan_buffer","S004","Forehead","Puritan_buffer","Between participants: same site and system"
"004AcLUSw_3","004FhLUSw_3",0.595540441150303,"unweighted_unifrac","S004","Antecubital","Puritan_buffer","S004","Forehead","Puritan_buffer","Within participant: different sites, same system"
"004FhCUSw","004FhLUSw_3",0.720390597973248,"unweighted_unifrac","S004","Forehead","Eswab","S004","Forehead","Puritan_buffer","Within participant-site: different systems"
"001FhLUSw_4","004FhLUSw_4",0.860096804605772,"unweighted_unifrac","S001","Forehead","Omni","S004","Forehead","Omni","Between participants: same site and system"
"002FhLUSw_4","004FhLUSw_4",0.841550691184585,"unweighted_unifrac","S002","Forehead","Omni","S004","Forehead","Omni","Between participants: same site and system"
"003FhLUSw_4","004FhLUSw_4",0.748534288178494,"unweighted_unifrac","S003","Forehead","Omni","S004","Forehead","Omni","Between participants: same site and system"
"004AcLUSw_4","004FhLUSw_4",0.569605404054719,"unweighted_unifrac","S004","Antecubital","Omni","S004","Forehead","Omni","Within participant: different sites, same system"
"004FhCUSw","004FhLUSw_4",0.692413279908114,"unweighted_unifrac","S004","Forehead","Eswab","S004","Forehead","Omni","Within participant-site: different systems"
"004FhLUSw_3","004FhLUSw_4",0.535890549995465,"unweighted_unifrac","S004","Forehead","Puritan_buffer","S004","Forehead","Omni","Within participant-site: different systems"
"001FhRUSw_1","004FhRUSw_1",0.887765493346279,"unweighted_unifrac","S001","Forehead","Copan","S004","Forehead","Copan","Between participants: same site and system"
"002FhRUSw_1","004FhRUSw_1",0.833687366012192,"unweighted_unifrac","S002","Forehead","Copan","S004","Forehead","Copan","Between participants: same site and system"
"003FhRUSw_1","004FhRUSw_1",0.864953412431576,"unweighted_unifrac","S003","Forehead","Copan","S004","Forehead","Copan","Between participants: same site and system"
"004AcRUSw_1","004FhRUSw_1",0.597222810978752,"unweighted_unifrac","S004","Antecubital","Copan","S004","Forehead","Copan","Within participant: different sites, same system"
"004FhCUSw","004FhRUSw_1",0.74605061655186,"unweighted_unifrac","S004","Forehead","Eswab","S004","Forehead","Copan","Within participant-site: different systems"
"004FhLUSw_3","004FhRUSw_1",0.546336802177358,"unweighted_unifrac","S004","Forehead","Puritan_buffer","S004","Forehead","Copan","Within participant-site: different systems"
"004FhLUSw_4","004FhRUSw_1",0.550671836310741,"unweighted_unifrac","S004","Forehead","Omni","S004","Forehead","Copan","Within participant-site: different systems"
"001FhRUSw_2","004FhRUSw_2",0.881781433802857,"unweighted_unifrac","S001","Forehead","Puritan_gel","S004","Forehead","Puritan_gel","Between participants: same site and system"
"002FhRUSw_2","004FhRUSw_2",0.835580527483474,"unweighted_unifrac","S002","Forehead","Puritan_gel","S004","Forehead","Puritan_gel","Between participants: same site and system"
"003FhRUSw_2","004FhRUSw_2",0.878978593310977,"unweighted_unifrac","S003","Forehead","Puritan_gel","S004","Forehead","Puritan_gel","Between participants: same site and system"
"004AcRUSw_2","004FhRUSw_2",0.579556401226617,"unweighted_unifrac","S004","Antecubital","Puritan_gel","S004","Forehead","Puritan_gel","Within participant: different sites, same system"
"004FhCUSw","004FhRUSw_2",0.744274080489977,"unweighted_unifrac","S004","Forehead","Eswab","S004","Forehead","Puritan_gel","Within participant-site: different systems"
"004FhLUSw_3","004FhRUSw_2",0.558089983328808,"unweighted_unifrac","S004","Forehead","Puritan_buffer","S004","Forehead","Puritan_gel","Within participant-site: different systems"
"004FhLUSw_4","004FhRUSw_2",0.55128171986493,"unweighted_unifrac","S004","Forehead","Omni","S004","Forehead","Puritan_gel","Within participant-site: different systems"
"004FhRUSw_1","004FhRUSw_2",0.515201777018121,"unweighted_unifrac","S004","Forehead","Copan","S004","Forehead","Puritan_gel","Within participant-site: different systems"
"001AcCUSw","005AcCUSw",0.727636646360579,"unweighted_unifrac","S001","Antecubital","Eswab","S005","Antecubital","Eswab","Between participants: same site and system"
"002AcCUSw","005AcCUSw",0.587244758147949,"unweighted_unifrac","S002","Antecubital","Eswab","S005","Antecubital","Eswab","Between participants: same site and system"
"003AcCUSw","005AcCUSw",0.700665097361553,"unweighted_unifrac","S003","Antecubital","Eswab","S005","Antecubital","Eswab","Between participants: same site and system"
"004AcCUSw","005AcCUSw",0.780327756225019,"unweighted_unifrac","S004","Antecubital","Eswab","S005","Antecubital","Eswab","Between participants: same site and system"
"001AcLUSw_3","005AcLUSw_3",0.63367069134591,"unweighted_unifrac","S001","Antecubital","Puritan_buffer","S005","Antecubital","Puritan_buffer","Between participants: same site and system"
"002AcLUSw_3","005AcLUSw_3",0.68297835322518,"unweighted_unifrac","S002","Antecubital","Puritan_buffer","S005","Antecubital","Puritan_buffer","Between participants: same site and system"
"003AcLUSw_3","005AcLUSw_3",0.657709463200822,"unweighted_unifrac","S003","Antecubital","Puritan_buffer","S005","Antecubital","Puritan_buffer","Between participants: same site and system"
"004AcLUSw_3","005AcLUSw_3",0.748554069431784,"unweighted_unifrac","S004","Antecubital","Puritan_buffer","S005","Antecubital","Puritan_buffer","Between participants: same site and system"
"005AcCUSw","005AcLUSw_3",0.678817620785078,"unweighted_unifrac","S005","Antecubital","Eswab","S005","Antecubital","Puritan_buffer","Within participant-site: different systems"
"001AcLUSw_4","005AcLUSw_4",0.640889593763684,"unweighted_unifrac","S001","Antecubital","Omni","S005","Antecubital","Omni","Between participants: same site and system"
"002AcLUSw_4","005AcLUSw_4",0.692558435551468,"unweighted_unifrac","S002","Antecubital","Omni","S005","Antecubital","Omni","Between participants: same site and system"
"003AcLUSw_4","005AcLUSw_4",0.638223725921664,"unweighted_unifrac","S003","Antecubital","Omni","S005","Antecubital","Omni","Between participants: same site and system"
"004AcLUSw_4","005AcLUSw_4",0.768744894241746,"unweighted_unifrac","S004","Antecubital","Omni","S005","Antecubital","Omni","Between participants: same site and system"
"005AcCUSw","005AcLUSw_4",0.680093133043794,"unweighted_unifrac","S005","Antecubital","Eswab","S005","Antecubital","Omni","Within participant-site: different systems"
"005AcLUSw_3","005AcLUSw_4",0.553857280702149,"unweighted_unifrac","S005","Antecubital","Puritan_buffer","S005","Antecubital","Omni","Within participant-site: different systems"
"001AcRUSw_1","005AcRUSw_1",0.617930085490684,"unweighted_unifrac","S001","Antecubital","Copan","S005","Antecubital","Copan","Between participants: same site and system"
"002AcRUSw_1","005AcRUSw_1",0.781904534643983,"unweighted_unifrac","S002","Antecubital","Copan","S005","Antecubital","Copan","Between participants: same site and system"
"003AcRUSw_1","005AcRUSw_1",0.810843765296553,"unweighted_unifrac","S003","Antecubital","Copan","S005","Antecubital","Copan","Between participants: same site and system"
"004AcRUSw_1","005AcRUSw_1",0.860900942636652,"unweighted_unifrac","S004","Antecubital","Copan","S005","Antecubital","Copan","Between participants: same site and system"
"005AcCUSw","005AcRUSw_1",0.473347015793857,"unweighted_unifrac","S005","Antecubital","Eswab","S005","Antecubital","Copan","Within participant-site: different systems"
"005AcLUSw_3","005AcRUSw_1",0.663211908077731,"unweighted_unifrac","S005","Antecubital","Puritan_buffer","S005","Antecubital","Copan","Within participant-site: different systems"
"005AcLUSw_4","005AcRUSw_1",0.736098632117483,"unweighted_unifrac","S005","Antecubital","Omni","S005","Antecubital","Copan","Within participant-site: different systems"
"001AcRUSw_2","005AcRUSw_2",0.753715168790908,"unweighted_unifrac","S001","Antecubital","Puritan_gel","S005","Antecubital","Puritan_gel","Between participants: same site and system"
"002AcRUSw_2","005AcRUSw_2",0.828790733965741,"unweighted_unifrac","S002","Antecubital","Puritan_gel","S005","Antecubital","Puritan_gel","Between participants: same site and system"
"003AcRUSw_2","005AcRUSw_2",0.4471443360883,"unweighted_unifrac","S003","Antecubital","Puritan_gel","S005","Antecubital","Puritan_gel","Between participants: same site and system"
"004AcRUSw_2","005AcRUSw_2",0.877346755340643,"unweighted_unifrac","S004","Antecubital","Puritan_gel","S005","Antecubital","Puritan_gel","Between participants: same site and system"
"005AcCUSw","005AcRUSw_2",0.536044330018786,"unweighted_unifrac","S005","Antecubital","Eswab","S005","Antecubital","Puritan_gel","Within participant-site: different systems"
"005AcLUSw_3","005AcRUSw_2",0.695690801233619,"unweighted_unifrac","S005","Antecubital","Puritan_buffer","S005","Antecubital","Puritan_gel","Within participant-site: different systems"
"005AcLUSw_4","005AcRUSw_2",0.717931112665853,"unweighted_unifrac","S005","Antecubital","Omni","S005","Antecubital","Puritan_gel","Within participant-site: different systems"
"005AcRUSw_1","005AcRUSw_2",0.606590895402101,"unweighted_unifrac","S005","Antecubital","Copan","S005","Antecubital","Puritan_gel","Within participant-site: different systems"
"001FhCUSw","005FhCUSw",0.787494666491693,"unweighted_unifrac","S001","Forehead","Eswab","S005","Forehead","Eswab","Between participants: same site and system"
"002FhCUSw","005FhCUSw",0.84612334762185,"unweighted_unifrac","S002","Forehead","Eswab","S005","Forehead","Eswab","Between participants: same site and system"
"003FhCUSw","005FhCUSw",0.701535534991488,"unweighted_unifrac","S003","Forehead","Eswab","S005","Forehead","Eswab","Between participants: same site and system"
"004FhCUSw","005FhCUSw",0.755607862708838,"unweighted_unifrac","S004","Forehead","Eswab","S005","Forehead","Eswab","Between participants: same site and system"
"005AcCUSw","005FhCUSw",0.69004974004286,"unweighted_unifrac","S005","Antecubital","Eswab","S005","Forehead","Eswab","Within participant: different sites, same system"
"001FhLUSw_3","005FhLUSw_3",0.805122917556828,"unweighted_unifrac","S001","Forehead","Puritan_buffer","S005","Forehead","Puritan_buffer","Between participants: same site and system"
"002FhLUSw_3","005FhLUSw_3",0.710905815959893,"unweighted_unifrac","S002","Forehead","Puritan_buffer","S005","Forehead","Puritan_buffer","Between participants: same site and system"
"003FhLUSw_3","005FhLUSw_3",0.814161952517679,"unweighted_unifrac","S003","Forehead","Puritan_buffer","S005","Forehead","Puritan_buffer","Between participants: same site and system"
"004FhLUSw_3","005FhLUSw_3",0.70536667073143,"unweighted_unifrac","S004","Forehead","Puritan_buffer","S005","Forehead","Puritan_buffer","Between participants: same site and system"
"005AcLUSw_3","005FhLUSw_3",0.614919014120594,"unweighted_unifrac","S005","Antecubital","Puritan_buffer","S005","Forehead","Puritan_buffer","Within participant: different sites, same system"
"005FhCUSw","005FhLUSw_3",0.600165534018651,"unweighted_unifrac","S005","Forehead","Eswab","S005","Forehead","Puritan_buffer","Within participant-site: different systems"
"001FhLUSw_4","005FhLUSw_4",0.744694027147189,"unweighted_unifrac","S001","Forehead","Omni","S005","Forehead","Omni","Between participants: same site and system"
"002FhLUSw_4","005FhLUSw_4",0.711299587603927,"unweighted_unifrac","S002","Forehead","Omni","S005","Forehead","Omni","Between participants: same site and system"
"003FhLUSw_4","005FhLUSw_4",0.603571459493919,"unweighted_unifrac","S003","Forehead","Omni","S005","Forehead","Omni","Between participants: same site and system"
"004FhLUSw_4","005FhLUSw_4",0.766281311601327,"unweighted_unifrac","S004","Forehead","Omni","S005","Forehead","Omni","Between participants: same site and system"
"005AcLUSw_4","005FhLUSw_4",0.670863566976521,"unweighted_unifrac","S005","Antecubital","Omni","S005","Forehead","Omni","Within participant: different sites, same system"
"005FhCUSw","005FhLUSw_4",0.659757680818167,"unweighted_unifrac","S005","Forehead","Eswab","S005","Forehead","Omni","Within participant-site: different systems"
"005FhLUSw_3","005FhLUSw_4",0.676049430618107,"unweighted_unifrac","S005","Forehead","Puritan_buffer","S005","Forehead","Omni","Within participant-site: different systems"
"001FhRUSw_1","005FhRUSw_1",0.807569293319211,"unweighted_unifrac","S001","Forehead","Copan","S005","Forehead","Copan","Between participants: same site and system"
"002FhRUSw_1","005FhRUSw_1",0.726675165458762,"unweighted_unifrac","S002","Forehead","Copan","S005","Forehead","Copan","Between participants: same site and system"
"003FhRUSw_1","005FhRUSw_1",0.75042876805776,"unweighted_unifrac","S003","Forehead","Copan","S005","Forehead","Copan","Between participants: same site and system"
"004FhRUSw_1","005FhRUSw_1",0.708100525458918,"unweighted_unifrac","S004","Forehead","Copan","S005","Forehead","Copan","Between participants: same site and system"
"005AcRUSw_1","005FhRUSw_1",0.756121015369955,"unweighted_unifrac","S005","Antecubital","Copan","S005","Forehead","Copan","Within participant: different sites, same system"
"005FhCUSw","005FhRUSw_1",0.603814439844484,"unweighted_unifrac","S005","Forehead","Eswab","S005","Forehead","Copan","Within participant-site: different systems"
"005FhLUSw_3","005FhRUSw_1",0.63921082431496,"unweighted_unifrac","S005","Forehead","Puritan_buffer","S005","Forehead","Copan","Within participant-site: different systems"
"005FhLUSw_4","005FhRUSw_1",0.70722014508793,"unweighted_unifrac","S005","Forehead","Omni","S005","Forehead","Copan","Within participant-site: different systems"
"001FhRUSw_2","005FhRUSw_2",0.747434795839624,"unweighted_unifrac","S001","Forehead","Puritan_gel","S005","Forehead","Puritan_gel","Between participants: same site and system"
"002FhRUSw_2","005FhRUSw_2",0.69247156411588,"unweighted_unifrac","S002","Forehead","Puritan_gel","S005","Forehead","Puritan_gel","Between participants: same site and system"
"003FhRUSw_2","005FhRUSw_2",0.768221149696971,"unweighted_unifrac","S003","Forehead","Puritan_gel","S005","Forehead","Puritan_gel","Between participants: same site and system"
"004FhRUSw_2","005FhRUSw_2",0.723001141411304,"unweighted_unifrac","S004","Forehead","Puritan_gel","S005","Forehead","Puritan_gel","Between participants: same site and system"
"005AcRUSw_2","005FhRUSw_2",0.744575585544792,"unweighted_unifrac","S005","Antecubital","Puritan_gel","S005","Forehead","Puritan_gel","Within participant: different sites, same system"
"005FhCUSw","005FhRUSw_2",0.587659571162061,"unweighted_unifrac","S005","Forehead","Eswab","S005","Forehead","Puritan_gel","Within participant-site: different systems"
"005FhLUSw_3","005FhRUSw_2",0.506704524674965,"unweighted_unifrac","S005","Forehead","Puritan_buffer","S005","Forehead","Puritan_gel","Within participant-site: different systems"
"005FhLUSw_4","005FhRUSw_2",0.641813119339179,"unweighted_unifrac","S005","Forehead","Omni","S005","Forehead","Puritan_gel","Within participant-site: different systems"
"005FhRUSw_1","005FhRUSw_2",0.603799967204168,"unweighted_unifrac","S005","Forehead","Copan","S005","Forehead","Puritan_gel","Within participant-site: different systems"
"001AcCUSw","001AcLUSw_3",0.284887678692988,"bray_curtis","S001","Antecubital","Eswab","S001","Antecubital","Puritan_buffer","Within participant-site: different systems"
"001AcCUSw","001AcLUSw_4",0.340197413206263,"bray_curtis","S001","Antecubital","Eswab","S001","Antecubital","Omni","Within participant-site: different systems"
"001AcLUSw_3","001AcLUSw_4",0.2142614023145,"bray_curtis","S001","Antecubital","Puritan_buffer","S001","Antecubital","Omni","Within participant-site: different systems"
"001AcCUSw","001AcRUSw_1",0.455071477195371,"bray_curtis","S001","Antecubital","Eswab","S001","Antecubital","Copan","Within participant-site: different systems"
"001AcLUSw_3","001AcRUSw_1",0.367256637168142,"bray_curtis","S001","Antecubital","Puritan_buffer","S001","Antecubital","Copan","Within participant-site: different systems"
"001AcLUSw_4","001AcRUSw_1",0.265656909462219,"bray_curtis","S001","Antecubital","Omni","S001","Antecubital","Copan","Within participant-site: different systems"
"001AcCUSw","001AcRUSw_2",0.489108236895848,"bray_curtis","S001","Antecubital","Eswab","S001","Antecubital","Puritan_gel","Within participant-site: different systems"
"001AcLUSw_3","001AcRUSw_2",0.419162695711368,"bray_curtis","S001","Antecubital","Puritan_buffer","S001","Antecubital","Puritan_gel","Within participant-site: different systems"
"001AcLUSw_4","001AcRUSw_2",0.452348536419333,"bray_curtis","S001","Antecubital","Omni","S001","Antecubital","Puritan_gel","Within participant-site: different systems"
"001AcRUSw_1","001AcRUSw_2",0.566541865214432,"bray_curtis","S001","Antecubital","Copan","S001","Antecubital","Puritan_gel","Within participant-site: different systems"
"001AcCUSw","001FhCUSw",0.62644656228727,"bray_curtis","S001","Antecubital","Eswab","S001","Forehead","Eswab","Within participant: different sites, same system"
"001AcLUSw_3","001FhLUSw_3",0.528420694349898,"bray_curtis","S001","Antecubital","Puritan_buffer","S001","Forehead","Puritan_buffer","Within participant: different sites, same system"
"001FhCUSw","001FhLUSw_3",0.0859428182437032,"bray_curtis","S001","Forehead","Eswab","S001","Forehead","Puritan_buffer","Within participant-site: different systems"
"001AcLUSw_4","001FhLUSw_4",0.419332879509871,"bray_curtis","S001","Antecubital","Omni","S001","Forehead","Omni","Within participant: different sites, same system"
"001FhCUSw","001FhLUSw_4",0.103301565690946,"bray_curtis","S001","Forehead","Eswab","S001","Forehead","Omni","Within participant-site: different systems"
"001FhLUSw_3","001FhLUSw_4",0.0323349217154527,"bray_curtis","S001","Forehead","Puritan_buffer","S001","Forehead","Omni","Within participant-site: different systems"
"001AcRUSw_1","001FhRUSw_1",0.265146358066712,"bray_curtis","S001","Antecubital","Copan","S001","Forehead","Copan","Within participant: different sites, same system"
"001FhCUSw","001FhRUSw_1",0.0263784887678693,"bray_curtis","S001","Forehead","Eswab","S001","Forehead","Copan","Within participant-site: different systems"
"001FhLUSw_3","001FhRUSw_1",0.0670524166099387,"bray_curtis","S001","Forehead","Puritan_buffer","S001","Forehead","Copan","Within participant-site: different systems"
"001FhLUSw_4","001FhRUSw_1",0.084070796460177,"bray_curtis","S001","Forehead","Omni","S001","Forehead","Copan","Within participant-site: different systems"
"001AcRUSw_2","001FhRUSw_2",0.738938053097345,"bray_curtis","S001","Antecubital","Puritan_gel","S001","Forehead","Puritan_gel","Within participant: different sites, same system"
"001FhCUSw","001FhRUSw_2",0.0650102110279101,"bray_curtis","S001","Forehead","Eswab","S001","Forehead","Puritan_gel","Within participant-site: different systems"
"001FhLUSw_3","001FhRUSw_2",0.0292716133424098,"bray_curtis","S001","Forehead","Puritan_buffer","S001","Forehead","Puritan_gel","Within participant-site: different systems"
"001FhLUSw_4","001FhRUSw_2",0.0468005445881552,"bray_curtis","S001","Forehead","Omni","S001","Forehead","Puritan_gel","Within participant-site: different systems"
"001FhRUSw_1","001FhRUSw_2",0.04714091218516,"bray_curtis","S001","Forehead","Copan","S001","Forehead","Puritan_gel","Within participant-site: different systems"
"001AcCUSw","002AcCUSw",0.535057862491491,"bray_curtis","S001","Antecubital","Eswab","S002","Antecubital","Eswab","Between participants: same site and system"
"001AcLUSw_3","002AcLUSw_3",0.353471749489449,"bray_curtis","S001","Antecubital","Puritan_buffer","S002","Antecubital","Puritan_buffer","Between participants: same site and system"
"002AcCUSw","002AcLUSw_3",0.501531654186521,"bray_curtis","S002","Antecubital","Eswab","S002","Antecubital","Puritan_buffer","Within participant-site: different systems"
"001AcLUSw_4","002AcLUSw_4",0.557011572498298,"bray_curtis","S001","Antecubital","Omni","S002","Antecubital","Omni","Between participants: same site and system"
"002AcCUSw","002AcLUSw_4",0.571817562968005,"bray_curtis","S002","Antecubital","Eswab","S002","Antecubital","Omni","Within participant-site: different systems"
"002AcLUSw_3","002AcLUSw_4",0.487916950306331,"bray_curtis","S002","Antecubital","Puritan_buffer","S002","Antecubital","Omni","Within participant-site: different systems"
"001AcRUSw_1","002AcRUSw_1",0.208134785568414,"bray_curtis","S001","Antecubital","Copan","S002","Antecubital","Copan","Between participants: same site and system"
"002AcCUSw","002AcRUSw_1",0.515656909462219,"bray_curtis","S002","Antecubital","Eswab","S002","Antecubital","Copan","Within participant-site: different systems"
"002AcLUSw_3","002AcRUSw_1",0.272294077603812,"bray_curtis","S002","Antecubital","Puritan_buffer","S002","Antecubital","Copan","Within participant-site: different systems"
"002AcLUSw_4","002AcRUSw_1",0.559904697072839,"bray_curtis","S002","Antecubital","Omni","S002","Antecubital","Copan","Within participant-site: different systems"
"001AcRUSw_2","002AcRUSw_2",0.651463580667121,"bray_curtis","S001","Antecubital","Puritan_gel","S002","Antecubital","Puritan_gel","Between participants: same site and system"
"002AcCUSw","002AcRUSw_2",0.5,"bray_curtis","S002","Antecubital","Eswab","S002","Antecubital","Puritan_gel","Within participant-site: different systems"
"002AcLUSw_3","002AcRUSw_2",0.195200816882233,"bray_curtis","S002","Antecubital","Puritan_buffer","S002","Antecubital","Puritan_gel","Within participant-site: different systems"
"002AcLUSw_4","002AcRUSw_2",0.543737236215112,"bray_curtis","S002","Antecubital","Omni","S002","Antecubital","Puritan_gel","Within participant-site: different systems"
"002AcRUSw_1","002AcRUSw_2",0.279441797140912,"bray_curtis","S002","Antecubital","Copan","S002","Antecubital","Puritan_gel","Within participant-site: different systems"
"001FhCUSw","002FhCUSw",0.0148059904697073,"bray_curtis","S001","Forehead","Eswab","S002","Forehead","Eswab","Between participants: same site and system"
"002AcCUSw","002FhCUSw",0.636147038801906,"bray_curtis","S002","Antecubital","Eswab","S002","Forehead","Eswab","Within participant: different sites, same system"
"001FhLUSw_3","002FhLUSw_3",0.0869639210347175,"bray_curtis","S001","Forehead","Puritan_buffer","S002","Forehead","Puritan_buffer","Between participants: same site and system"
"002AcLUSw_3","002FhLUSw_3",0.48144996596324,"bray_curtis","S002","Antecubital","Puritan_buffer","S002","Forehead","Puritan_buffer","Within participant: different sites, same system"
"002FhCUSw","002FhLUSw_3",0.00901974132062628,"bray_curtis","S002","Forehead","Eswab","S002","Forehead","Puritan_buffer","Within participant-site: different systems"
"001FhLUSw_4","002FhLUSw_4",0.107045609257999,"bray_curtis","S001","Forehead","Omni","S002","Forehead","Omni","Between participants: same site and system"
"002AcLUSw_4","002FhLUSw_4",0.674778761061947,"bray_curtis","S002","Antecubital","Omni","S002","Forehead","Omni","Within participant: different sites, same system"
"002FhCUSw","002FhLUSw_4",0.00544588155207624,"bray_curtis","S002","Forehead","Eswab","S002","Forehead","Omni","Within participant-site: different systems"
"002FhLUSw_3","002FhLUSw_4",0.00544588155207624,"bray_curtis","S002","Forehead","Puritan_buffer","S002","Forehead","Omni","Within participant-site: different systems"
"001FhRUSw_1","002FhRUSw_1",0.0466303607896528,"bray_curtis","S001","Forehead","Copan","S002","Forehead","Copan","Between participants: same site and system"
"002AcRUSw_1","002FhRUSw_1",0.244213750850919,"bray_curtis","S002","Antecubital","Copan","S002","Forehead","Copan","Within participant: different sites, same system"
"002FhCUSw","002FhRUSw_1",0.0619469026548673,"bray_curtis","S002","Forehead","Eswab","S002","Forehead","Copan","Within participant-site: different systems"
"002FhLUSw_3","002FhRUSw_1",0.0558202859087815,"bray_curtis","S002","Forehead","Puritan_buffer","S002","Forehead","Copan","Within participant-site: different systems"
"002FhLUSw_4","002FhRUSw_1",0.0588835942818244,"bray_curtis","S002","Forehead","Omni","S002","Forehead","Copan","Within participant-site: different systems"
"001FhRUSw_2","002FhRUSw_2",0.0619469026548673,"bray_curtis","S001","Forehead","Puritan_gel","S002","Forehead","Puritan_gel","Between participants: same site and system"
"002AcRUSw_2","002FhRUSw_2",0.431245745405037,"bray_curtis","S002","Antecubital","Puritan_gel","S002","Forehead","Puritan_gel","Within participant: different sites, same system"
"002FhCUSw","002FhRUSw_2",0.0847515316541865,"bray_curtis","S002","Forehead","Eswab","S002","Forehead","Puritan_gel","Within participant-site: different systems"
"002FhLUSw_3","002FhRUSw_2",0.0786249149081008,"bray_curtis","S002","Forehead","Puritan_buffer","S002","Forehead","Puritan_gel","Within participant-site: different systems"
"002FhLUSw_4","002FhRUSw_2",0.0806671204901293,"bray_curtis","S002","Forehead","Omni","S002","Forehead","Puritan_gel","Within participant-site: different systems"
"002FhRUSw_1","002FhRUSw_2",0.0401633764465623,"bray_curtis","S002","Forehead","Copan","S002","Forehead","Puritan_gel","Within participant-site: different systems"
"001AcCUSw","003AcCUSw",0.498468345813479,"bray_curtis","S001","Antecubital","Eswab","S003","Antecubital","Eswab","Between participants: same site and system"
"002AcCUSw","003AcCUSw",0.690265486725664,"bray_curtis","S002","Antecubital","Eswab","S003","Antecubital","Eswab","Between participants: same site and system"
"001AcLUSw_3","003AcLUSw_3",0.688904016337645,"bray_curtis","S001","Antecubital","Puritan_buffer","S003","Antecubital","Puritan_buffer","Between participants: same site and system"
