"subset","retained_asvs","shared_by_all_five_asvs","total_reads","reads_from_shared_asvs","shared_asv_relative_abundance_pct"
"Total",1714,119,846942,731295,86.3453459622973
"Antecubital fossa",1301,95,403940,315975,78.223250977868
"Forehead",769,34,443002,389855,88.0029886998253
