"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id","Genus","subset","filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"85c44a334114a5e2ca8dbe7d74e191d7","TM7a","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"303f5cdac869c2dc02db6ebe1323e12a","Deinococcus","Total","No abundance filtering"
TRUE,FALSE,FALSE,TRUE,TRUE,"a433a2d87737d2dbf73ad13321f67911","Thermus","Total","No abundance filtering"
FALSE,FALSE,TRUE,FALSE,FALSE,"0535f4bb8a671a91b7c6080f796b0bc0","JGI_0000069-P22","Total","No abundance filtering"
FALSE,FALSE,FALSE,TRUE,FALSE,"3d321b478b7fd39dc8ac6c68a827a622","Arcobacter","Total","No abundance filtering"
TRUE,FALSE,FALSE,FALSE,FALSE,"d127837f1b6ab3f7bdad8d8d125f0b08","Helicobacter","Total","No abundance filtering"
FALSE,TRUE,FALSE,TRUE,FALSE,"926726e3e0db3f70863c3e8a1f495968","Candidatus_Alysiosphaera","Total","No abundance filtering"
FALSE,TRUE,FALSE,TRUE,FALSE,"8565dacf1db3e048ac63f478454923c7","Nordella","Total","No abundance filtering"
FALSE,FALSE,TRUE,FALSE,FALSE,"a6a5c75bcf40728c389d91b17e569cb0","Reyranella","Total","No abundance filtering"
FALSE,FALSE,FALSE,TRUE,FALSE,"a1e2b28fb788c9542caf556c169bd434","Hyphomicrobium","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,FALSE,"a47b8216f72af411c683bfe0846aa555","Pedomicrobium","Total","No abundance filtering"
FALSE,FALSE,TRUE,FALSE,FALSE,"4ed1aaefaefe8f38b7f6a4c1fd82d1ba","Hyphomicrobiaceae_f","Total","No abundance filtering"
TRUE,FALSE,FALSE,TRUE,FALSE,"b733b3851a774a99efd0dd4c1d92054c","Phreatobacter","Total","No abundance filtering"
FALSE,FALSE,TRUE,FALSE,FALSE,"302bf7a5ed63144059d0db8f906a743f","Amb-16S-1323","Total","No abundance filtering"
TRUE,TRUE,FALSE,FALSE,FALSE,"8ada8a5b8f21a7dc546f16c295fd64f4","Pseudorhodoplanes","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"b0ce3a4407f76fe40d761ea266b304ff","Microvirga","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"d8a7df9e8bf0ac6efceee3f0424a5090","Beijerinckiaceae_f","Total","No abundance filtering"
FALSE,TRUE,FALSE,FALSE,FALSE,"be765e929e8c9e7845dc8abd26cbda3e","28-YEA-48","Total","No abundance filtering"
FALSE,TRUE,FALSE,FALSE,TRUE,"b66b3e7d5986ed8721f7bd4f6538105c","1174-901-12","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"5dac0955f00d983d7557e718591f0f42","Methylobacterium-Methylorubrum","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"fa5d10d0f5b3457021cf635a8268b986","Bosea","Total","No abundance filtering"
FALSE,FALSE,TRUE,TRUE,FALSE,"a354591ad123e5f645c3694abf4089f4","Rhodopseudomonas","Total","No abundance filtering"
FALSE,TRUE,FALSE,FALSE,FALSE,"87a6bbed6ceb02ec381f45db5ed37984","Afipia","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"75867d7a16d9647ce25057cc21524cd3","Xanthobacteraceae_f","Total","No abundance filtering"
TRUE,FALSE,FALSE,FALSE,FALSE,"1c5d6c2c9b4a7166c7cb496fca023c12","Bradyrhizobium","Total","No abundance filtering"
FALSE,FALSE,FALSE,TRUE,TRUE,"b7efbc42c9ff68fc2a12b5046976cfe6","Psychroglaciecola","Total","No abundance filtering"
FALSE,FALSE,FALSE,FALSE,TRUE,"719f736c916092f6d392c5a46e1091ea","Hyphomonadaceae_f","Total","No abundance filtering"
FALSE,TRUE,FALSE,FALSE,FALSE,"b90d5c735e4f9bea8175e5eabfd3caab","Asticcacaulis","Total","No abundance filtering"
FALSE,TRUE,TRUE,TRUE,TRUE,"8f120cf4ec104620d09446cdfbd8b7e9","Caulobacteraceae_f","Total","No abundance filtering"
