"Type 1","Type 2","Type 3","Type 4","Type 5","taxon_id","Genus","subset","filtering"
FALSE,TRUE,FALSE,TRUE,FALSE,"029c76efcff7044afc7a4d56e859c483","Tissierella","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"e7a499f9a323eb7371e4433ae24c2ba5","Peptoniphilus","Total","No abundance filtering"
FALSE,FALSE,TRUE,TRUE,FALSE,"ff4a81e61c87662b972b90e3ab36e375","[Eubacterium]_saphenum_group","Total","No abundance filtering"
TRUE,TRUE,TRUE,TRUE,TRUE,"fe3c004d8197f1b22882116b5be2deda","Mogibacterium","Total","No abundance filtering"
FALSE,TRUE,TRUE,TRUE,TRUE,"fab4e6f2ff0d67c9da977d16fc3cb422","[Eubacterium]_nodatum_group","Total","No abundance filtering"
TRUE,FALSE,TRUE,FALSE,FALSE,"bd70ff86d44ce073392ba44cc682ed77","S5-A14a","Total","No abundance filtering"
TRUE,FALSE,TRUE,FALSE,TRUE,"21aa4b4f658decb90eb33740ce2886c0","[Eubacterium]_brachy_group","Total","No abundance filtering"
TRUE,FALSE,FALSE,FALSE,FALSE,"c8a6218790712b8c08f605b865c6e497","Paeniclostridium","Total","No abundance filtering"
FALSE,TRUE,TRUE,TRUE,FALSE,"a13dce895add088f18d0e430280854b1","Romboutsia","Total","No abundance filtering"
FALSE,FALSE,TRUE,FALSE,FALSE,"ca98c2f71fa7860e8be3b69cc0e6c6c1","Peptostreptococcaceae_f","Total","No abundance filtering"
TRUE,FALSE,TRUE,TRUE,TRUE,"94280c1f9f716fbaaac5ea7d1925a3ac","Peptostreptococcus","Total","No abundance filtering"
FALSE,FALSE,FALSE,FALSE,TRUE,"054a3d89b18fe9efb721eae0b64f969b","Filifactor","Total","No abundance filtering"
FALSE,TRUE,FALSE,FALSE,FALSE,"6726658e6ed1b518f3cdae63d51007c1","Proteocatella","Total","No abundance filtering"
