"condition_axis","condition_id","distance","pair_class","unit_id","unit_median_distance","pair_count","baseline_distance","absolute_change_from_no_filter","percent_change_from_no_filter"
"filter_at_threshold_0.5_fixed_50_samples","no_filter","bray_curtis","between_sites_matched_participant_system","S005__Puritan_gel",0.908743900889769,1,0.908743900889769,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","bray_curtis","within_participant_site_between_systems","S001__Antecubital",0.387367658697218,10,0.387367658697218,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","bray_curtis","within_participant_site_between_systems","S001__Forehead",0.0583951941794449,10,0.0583951941794449,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","bray_curtis","within_participant_site_between_systems","S002__Antecubital",0.494123512813118,10,0.494123512813118,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","bray_curtis","within_participant_site_between_systems","S002__Forehead",0.0558191562781083,10,0.0558191562781083,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","bray_curtis","within_participant_site_between_systems","S003__Antecubital",0.527024265873915,10,0.527024265873915,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","bray_curtis","within_participant_site_between_systems","S003__Forehead",0.194851537395492,10,0.194851537395492,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","bray_curtis","within_participant_site_between_systems","S004__Antecubital",0.636139597841796,10,0.636139597841796,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","bray_curtis","within_participant_site_between_systems","S004__Forehead",0.346947588001735,10,0.346947588001735,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","bray_curtis","within_participant_site_between_systems","S005__Antecubital",0.502956750738448,10,0.502956750738448,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","bray_curtis","within_participant_site_between_systems","S005__Forehead",0.588749250604983,10,0.588749250604983,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_participants_matched_site_system","Antecubital__Copan",0.939733593242365,10,0.939733593242365,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_participants_matched_site_system","Antecubital__Eswab",0.91440329218107,10,0.91440329218107,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_participants_matched_site_system","Antecubital__Omni",0.934658866313543,10,0.934658866313543,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_participants_matched_site_system","Antecubital__Puritan_buffer",0.946699254431442,10,0.946699254431442,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_participants_matched_site_system","Antecubital__Puritan_gel",0.954781377791758,10,0.954781377791758,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_participants_matched_site_system","Forehead__Copan",0.933035714285714,10,0.933035714285714,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_participants_matched_site_system","Forehead__Eswab",0.949874686716792,10,0.949874686716792,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_participants_matched_site_system","Forehead__Omni",0.932748538011696,10,0.932748538011696,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_participants_matched_site_system","Forehead__Puritan_buffer",0.942727272727273,10,0.942727272727273,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_participants_matched_site_system","Forehead__Puritan_gel",0.942012032085562,10,0.942012032085562,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S001__Copan",0.626666666666667,1,0.626666666666667,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S001__Eswab",0.887931034482759,1,0.887931034482759,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S001__Omni",0.824561403508772,1,0.824561403508772,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S001__Puritan_buffer",0.837209302325581,1,0.837209302325581,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S001__Puritan_gel",0.817307692307692,1,0.817307692307692,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S002__Copan",0.850877192982456,1,0.850877192982456,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S002__Eswab",0.875,1,0.875,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S002__Omni",0.938144329896907,1,0.938144329896907,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S002__Puritan_buffer",0.917241379310345,1,0.917241379310345,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S002__Puritan_gel",0.847328244274809,1,0.847328244274809,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S003__Copan",0.91304347826087,1,0.91304347826087,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S003__Eswab",0.849624060150376,1,0.849624060150376,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S003__Omni",0.884353741496599,1,0.884353741496599,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S003__Puritan_buffer",0.935483870967742,1,0.935483870967742,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S003__Puritan_gel",0.894736842105263,1,0.894736842105263,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S004__Copan",0.805555555555556,1,0.805555555555556,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S004__Eswab",0.724867724867725,1,0.724867724867725,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S004__Omni",0.853723404255319,1,0.853723404255319,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S004__Puritan_buffer",0.816860465116279,1,0.816860465116279,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S004__Puritan_gel",0.821316614420063,1,0.821316614420063,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S005__Copan",0.911764705882353,1,0.911764705882353,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S005__Eswab",0.878048780487805,1,0.878048780487805,0,0
"filter_at_threshold_0.5_fixed_50_samples","no_filter","binary_jaccard","between_sites_matched_participant_system","S005__Omni",0.84,1,0.84,0,0
