"condition_axis","condition_id","taxonomic_level","subject_id","site_group","systems_present","union_features","shared_all_five_features","intersection_over_union","shared_all_five_read_pct"
"filter_at_threshold_0.5","remove_count_le_10","Genus","S005","Forehead",5,83,7,0.0843373493975904,88.9711564569018
"filter_at_threshold_0.5","prevalence_ge_2","ASV","S001","Antecubital",5,150,31,0.206666666666667,90.9275031712699
"filter_at_threshold_0.5","prevalence_ge_2","ASV","S001","Forehead",5,49,8,0.163265306122449,98.187488472695
"filter_at_threshold_0.5","prevalence_ge_2","ASV","S002","Antecubital",5,152,14,0.0921052631578947,82.9978855039549
"filter_at_threshold_0.5","prevalence_ge_2","ASV","S002","Forehead",5,42,3,0.0714285714285714,98.0763840587985
"filter_at_threshold_0.5","prevalence_ge_2","ASV","S003","Antecubital",5,163,5,0.0306748466257669,48.6183883955656
"filter_at_threshold_0.5","prevalence_ge_2","ASV","S003","Forehead",5,41,2,0.0487804878048781,93.1319413593958
"filter_at_threshold_0.5","prevalence_ge_2","ASV","S004","Antecubital",5,323,38,0.117647058823529,58.3560836911087
"filter_at_threshold_0.5","prevalence_ge_2","ASV","S004","Forehead",5,255,24,0.0941176470588235,81.7828521772714
"filter_at_threshold_0.5","prevalence_ge_2","ASV","S005","Antecubital",5,73,7,0.0958904109589041,75.1262860014282
"filter_at_threshold_0.5","prevalence_ge_2","ASV","S005","Forehead",5,122,6,0.0491803278688525,62.6575486345785
"filter_at_threshold_0.5","prevalence_ge_2","Genus","S001","Antecubital",5,41,11,0.268292682926829,98.5481446738655
"filter_at_threshold_0.5","prevalence_ge_2","Genus","S001","Forehead",5,15,6,0.4,99.8340068073976
"filter_at_threshold_0.5","prevalence_ge_2","Genus","S002","Antecubital",5,41,9,0.219512195121951,96.7120891743023
"filter_at_threshold_0.5","prevalence_ge_2","Genus","S002","Forehead",5,15,5,0.333333333333333,99.7954925308059
"filter_at_threshold_0.5","prevalence_ge_2","Genus","S003","Antecubital",5,51,7,0.137254901960784,83.8269630283309
"filter_at_threshold_0.5","prevalence_ge_2","Genus","S003","Forehead",5,21,3,0.142857142857143,98.1697023545091
"filter_at_threshold_0.5","prevalence_ge_2","Genus","S004","Antecubital",5,97,28,0.288659793814433,81.9058191827996
"filter_at_threshold_0.5","prevalence_ge_2","Genus","S004","Forehead",5,90,16,0.177777777777778,92.5400695182003
"filter_at_threshold_0.5","prevalence_ge_2","Genus","S005","Antecubital",5,25,3,0.12,96.1426568987861
"filter_at_threshold_0.5","prevalence_ge_2","Genus","S005","Forehead",5,37,7,0.189189189189189,95.2575577678327
"filter_at_threshold_0.5","prevalence_ge_5","ASV","S001","Antecubital",5,87,31,0.35632183908046,94.3657141592822
"filter_at_threshold_0.5","prevalence_ge_5","ASV","S001","Forehead",5,40,8,0.2,98.3705694607761
"filter_at_threshold_0.5","prevalence_ge_5","ASV","S002","Antecubital",5,69,14,0.202898550724638,88.2688543705493
"filter_at_threshold_0.5","prevalence_ge_5","ASV","S002","Forehead",5,28,3,0.107142857142857,98.4422377593231
"filter_at_threshold_0.5","prevalence_ge_5","ASV","S003","Antecubital",5,83,5,0.0602409638554217,57.9591031626011
"filter_at_threshold_0.5","prevalence_ge_5","ASV","S003","Forehead",5,24,2,0.0833333333333333,93.6729222520107
"filter_at_threshold_0.5","prevalence_ge_5","ASV","S004","Antecubital",5,127,38,0.299212598425197,74.4490208830118
"filter_at_threshold_0.5","prevalence_ge_5","ASV","S004","Forehead",5,126,24,0.19047619047619,86.7942412132391
"filter_at_threshold_0.5","prevalence_ge_5","ASV","S005","Antecubital",5,38,7,0.184210526315789,82.2897203030171
"filter_at_threshold_0.5","prevalence_ge_5","ASV","S005","Forehead",5,63,6,0.0952380952380952,67.307244208435
"filter_at_threshold_0.5","prevalence_ge_5","Genus","S001","Antecubital",5,24,10,0.416666666666667,99.5685506621088
"filter_at_threshold_0.5","prevalence_ge_5","Genus","S001","Forehead",5,13,6,0.461538461538462,99.8950109188644
"filter_at_threshold_0.5","prevalence_ge_5","Genus","S002","Antecubital",5,20,8,0.4,98.7395716209275
"filter_at_threshold_0.5","prevalence_ge_5","Genus","S002","Forehead",5,11,5,0.454545454545455,99.8509966552396
"filter_at_threshold_0.5","prevalence_ge_5","Genus","S003","Antecubital",5,28,6,0.214285714285714,91.345036929888
"filter_at_threshold_0.5","prevalence_ge_5","Genus","S003","Forehead",5,12,3,0.25,98.6796246648794
"filter_at_threshold_0.5","prevalence_ge_5","Genus","S004","Antecubital",5,49,22,0.448979591836735,89.7131295613845
"filter_at_threshold_0.5","prevalence_ge_5","Genus","S004","Forehead",5,45,15,0.333333333333333,95.6104621375141
"filter_at_threshold_0.5","prevalence_ge_5","Genus","S005","Antecubital",5,12,3,0.25,96.7742869972045
"filter_at_threshold_0.5","prevalence_ge_5","Genus","S005","Forehead",5,18,7,0.388888888888889,98.9661642609239
"filter_at_threshold_0.5","prevalence_ge_10pct","ASV","S001","Antecubital",5,87,31,0.35632183908046,94.3657141592822
"filter_at_threshold_0.5","prevalence_ge_10pct","ASV","S001","Forehead",5,40,8,0.2,98.3705694607761
"filter_at_threshold_0.5","prevalence_ge_10pct","ASV","S002","Antecubital",5,69,14,0.202898550724638,88.2688543705493
"filter_at_threshold_0.5","prevalence_ge_10pct","ASV","S002","Forehead",5,28,3,0.107142857142857,98.4422377593231
"filter_at_threshold_0.5","prevalence_ge_10pct","ASV","S003","Antecubital",5,83,5,0.0602409638554217,57.9591031626011
"filter_at_threshold_0.5","prevalence_ge_10pct","ASV","S003","Forehead",5,24,2,0.0833333333333333,93.6729222520107
"filter_at_threshold_0.5","prevalence_ge_10pct","ASV","S004","Antecubital",5,127,38,0.299212598425197,74.4490208830118
"filter_at_threshold_0.5","prevalence_ge_10pct","ASV","S004","Forehead",5,126,24,0.19047619047619,86.7942412132391
"filter_at_threshold_0.5","prevalence_ge_10pct","ASV","S005","Antecubital",5,38,7,0.184210526315789,82.2897203030171
"filter_at_threshold_0.5","prevalence_ge_10pct","ASV","S005","Forehead",5,63,6,0.0952380952380952,67.307244208435
