"condition_axis","condition_id","site_group","response","n_samples","n_participants","statistic","df","p_value","complete_5_by_5_design"
"filter_at_threshold_0.5","prevalence_ge_2","Antecubital","Observed",23,5,NA,NA,NA,FALSE
"filter_at_threshold_0.5","prevalence_ge_2","Forehead","Shannon",25,5,1.44,4,0.837213880251151,TRUE
"filter_at_threshold_0.5","prevalence_ge_2","Forehead","Observed",25,5,6.40816326530612,4,0.17066959885384,TRUE
"filter_at_threshold_0.5","prevalence_ge_5","Antecubital","Shannon",23,5,NA,NA,NA,FALSE
"filter_at_threshold_0.5","prevalence_ge_5","Antecubital","Observed",23,5,NA,NA,NA,FALSE
"filter_at_threshold_0.5","prevalence_ge_5","Forehead","Shannon",25,5,3.2,4,0.524930946786104,TRUE
"filter_at_threshold_0.5","prevalence_ge_5","Forehead","Observed",25,5,7.38144329896907,4,0.117052209457618,TRUE
"filter_at_threshold_0.5","prevalence_ge_10pct","Antecubital","Shannon",23,5,NA,NA,NA,FALSE
"filter_at_threshold_0.5","prevalence_ge_10pct","Antecubital","Observed",23,5,NA,NA,NA,FALSE
"filter_at_threshold_0.5","prevalence_ge_10pct","Forehead","Shannon",25,5,3.2,4,0.524930946786104,TRUE
"filter_at_threshold_0.5","prevalence_ge_10pct","Forehead","Observed",25,5,7.38144329896907,4,0.117052209457618,TRUE
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","Antecubital","Shannon",23,5,NA,NA,NA,FALSE
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","Antecubital","Observed",23,5,NA,NA,NA,FALSE
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","Forehead","Shannon",25,5,2.4,4,0.662627266206845,TRUE
"filter_at_threshold_0.5","mean_abundance_ge_0.1pct","Forehead","Observed",25,5,6.6530612244898,4,0.155398167124542,TRUE
"filter_at_threshold_0.5","mean_abundance_ge_1pct","Antecubital","Shannon",14,4,NA,NA,NA,FALSE
"filter_at_threshold_0.5","mean_abundance_ge_1pct","Antecubital","Observed",14,4,NA,NA,NA,FALSE
"filter_at_threshold_0.5","mean_abundance_ge_1pct","Forehead","Shannon",23,5,NA,NA,NA,FALSE
"filter_at_threshold_0.5","mean_abundance_ge_1pct","Forehead","Observed",23,5,NA,NA,NA,FALSE
