"sample_name","threshold","threshold_numeric","reads_before","reads_after","reads_removed","removed_pct","subject_id","site_group","swab_type2","control_status"
"001AcLUSw_3","0.8",0.8,18155,7189,10966,60.4020930873038,"S001","Antecubital","Puritan_buffer","sample"
"001AcLUSw_4","0.8",0.8,19841,6645,13196,66.5087445189255,"S001","Antecubital","Omni","sample"
"001AcRUSw_1","0.8",0.8,23169,4599,18570,80.1502006992101,"S001","Antecubital","Copan","sample"
"001AcRUSw_2","0.8",0.8,16556,8316,8240,49.7704759603769,"S001","Antecubital","Puritan_gel","sample"
"001FhCUSw","0.8",0.8,21239,430,20809,97.9754225716842,"S001","Forehead","Eswab","sample"
"001FhLUSw_3","0.8",0.8,24471,1929,22542,92.1171999509624,"S001","Forehead","Puritan_buffer","sample"
"001FhLUSw_4","0.8",0.8,15080,1346,13734,91.0742705570292,"S001","Forehead","Omni","sample"
"001FhRUSw_1","0.8",0.8,31711,1008,30703,96.8212922960487,"S001","Forehead","Copan","sample"
"001FhRUSw_2","0.8",0.8,26963,1698,25265,93.7024811779105,"S001","Forehead","Puritan_gel","sample"
"001NCXUSw","0.8",0.8,21949,1186,20763,94.5965647637706,"Control","NC","Copan","control"
"002AcCUSw","0.8",0.8,8182,2469,5713,69.8240039110242,"S002","Antecubital","Eswab","sample"
"002AcLUSw_3","0.8",0.8,23229,7792,15437,66.4557234491369,"S002","Antecubital","Puritan_buffer","sample"
"002AcLUSw_4","0.8",0.8,6705,3156,3549,52.9306487695749,"S002","Antecubital","Omni","sample"
"002AcRUSw_1","0.8",0.8,22930,5595,17335,75.5996511120802,"S002","Antecubital","Copan","sample"
"002AcRUSw_2","0.8",0.8,20552,8496,12056,58.6609575710393,"S002","Antecubital","Puritan_gel","sample"
"002FhCUSw","0.8",0.8,18372,143,18229,99.2216416285652,"S002","Forehead","Eswab","sample"
"002FhLUSw_3","0.8",0.8,19696,338,19358,98.2839155158408,"S002","Forehead","Puritan_buffer","sample"
"002FhLUSw_4","0.8",0.8,20113,249,19864,98.7619947297768,"S002","Forehead","Omni","sample"
"002FhRUSw_1","0.8",0.8,12350,737,11613,94.0323886639676,"S002","Forehead","Copan","sample"
"002FhRUSw_2","0.8",0.8,25944,2179,23765,91.6011409189022,"S002","Forehead","Puritan_gel","sample"
"002NCXUSw","0.8",0.8,23836,1978,21858,91.7016277898976,"Control","NC","Puritan_gel","control"
"003AcCUSw","0.8",0.8,13439,6083,7356,54.7362154922241,"S003","Antecubital","Eswab","sample"
"003AcLUSw_3","0.8",0.8,6422,3060,3362,52.3512924322641,"S003","Antecubital","Puritan_buffer","sample"
"003AcLUSw_4","0.8",0.8,18541,8864,9677,52.1924383798069,"S003","Antecubital","Omni","sample"
"003AcRUSw_1","0.8",0.8,15562,7722,7840,50.3791286467035,"S003","Antecubital","Copan","sample"
"003AcRUSw_2","0.8",0.8,7635,3913,3722,48.7491814014407,"S003","Antecubital","Puritan_gel","sample"
"003FhCUSw","0.8",0.8,8249,4711,3538,42.890047278458,"S003","Forehead","Eswab","sample"
"003FhLUSw_3","0.8",0.8,18909,12310,6599,34.8987254746417,"S003","Forehead","Puritan_buffer","sample"
"003FhLUSw_4","0.8",0.8,14961,9850,5111,34.1621549361674,"S003","Forehead","Omni","sample"
"003FhRUSw_1","0.8",0.8,11048,6931,4117,37.2646632874728,"S003","Forehead","Copan","sample"
