"condition_id","distance","between_participants_matched_site_system","between_sites_matched_participant_system","within_participant_site_between_systems","participant_to_system_ratio","site_to_system_ratio","participant_ratio_retained_pct","site_ratio_retained_pct"
"mean_abundance_ge_0.1pct","aitchison",26.1691721731094,21.5311279047432,16.0193869033612,1.63359386541932,1.34406691308677,138.185952388441,127.497321874708
"mean_abundance_ge_0.1pct","binary_jaccard",0.780545222041386,0.6,0.480697940503433,1.62377484127335,1.24818508556875,138.994231887936,117.750752319926
"mean_abundance_ge_0.1pct","bray_curtis",0.787080702380513,0.68867730812529,0.372342404515044,2.11386265124877,1.84958065418913,112.012492441415,112.05528613554
"mean_abundance_ge_0.1pct","unweighted_unifrac",0.464868495950555,0.256883814341429,0.178663697486308,2.60191915028613,1.4378064372093,230.045309928098,132.255221968807
"mean_abundance_ge_0.1pct","weighted_unifrac",0.634416122254373,0.673958144547326,0.245045295097445,2.58897491585012,2.75034109216143,47.1558681683932,57.4070685032977
"mean_abundance_ge_1pct","aitchison",11.5672475687338,7.90008111428465,5.35139342593258,2.16153936892015,1.47626617695519,182.844942456165,140.037658916651
"mean_abundance_ge_1pct","binary_jaccard",0.457142857142857,0.4,0.276785714285714,1.65161290322581,1.44516129032258,141.377154655293,136.333009524448
"mean_abundance_ge_1pct","bray_curtis",0.577310324660009,0.405502870498663,0.193977844335095,2.97616630723409,2.09045972177194,157.705518755684,126.648741566056
"mean_abundance_ge_1pct","unweighted_unifrac",0.153935818062274,0.0817072684642941,0.0913259747088036,1.68556446895973,0.894677212313593,149.026998253573,82.2960102575635
"mean_abundance_ge_1pct","weighted_unifrac",0.525981586064934,0.435608743094327,0.174862051339867,3.007980188009,2.4911565417225,54.7876753577256,51.9971848766996
"no_filter","aitchison",44.9884726200502,40.1181482559663,38.0558170981327,1.18217071792311,1.05419227111891,100,100
"no_filter","binary_jaccard",0.940872812663963,0.853723404255319,0.805381944444444,1.16823181740557,1.06002302403765,100,100
"no_filter","bray_curtis",0.831760468965457,0.727493130351722,0.440745585755168,1.8871668732435,1.65059652067812,100,100
"no_filter","unweighted_unifrac",0.73470183484709,0.706184702050735,0.649577106512146,1.13104637999331,1.08714530572443,100,100
"no_filter","weighted_unifrac",0.203320691691408,0.177423306316352,0.0370330499326538,5.49024971103258,4.79094502448499,100,100
"prevalence_ge_10pct","aitchison",31.8839720734823,27.6617094396088,22.2257518102202,1.4345508914943,1.24457924644371,121.34887709066,118.059985881203
"prevalence_ge_10pct","binary_jaccard",0.859677653297582,0.6875,0.559374856222682,1.53685430035731,1.22905059523504,131.553881469381,115.945650930634
"prevalence_ge_10pct","bray_curtis",0.801129256540875,0.687177001672328,0.383013572114525,2.09164717615105,1.79413224935761,110.835305865459,108.695991229917
"prevalence_ge_10pct","unweighted_unifrac",0.607538516929092,0.500144835597867,0.383789436521821,1.58299958027779,1.30317509551733,139.958856531344,119.87128939024
"prevalence_ge_10pct","weighted_unifrac",0.406245518591566,0.357729725421026,0.181389501094273,2.23963082835996,1.97216334607538,40.7928773050058,41.1643910751696
"prevalence_ge_2","aitchison",39.5391719549572,35.1932614662946,29.850188524629,1.32458700963761,1.1789962879885,112.04701567678,111.838828673742
"prevalence_ge_2","binary_jaccard",0.906828456145185,0.778947368421053,0.711942171303873,1.27373892528994,1.09411606703177,109.031350311849,103.216254951167
"prevalence_ge_2","bray_curtis",0.826280857101864,0.70663420500601,0.424489716998789,1.9465273810254,1.66466742705107,103.145482713983,100.852474011466
"prevalence_ge_2","unweighted_unifrac",0.691303627019703,0.623556902806846,0.542341626238904,1.2746645169279,1.1497492957182,112.697811466886,105.758566924231
"prevalence_ge_2","weighted_unifrac",0.365720203602268,0.335066480377321,0.152853862593731,2.39261342432878,2.19207074451164,43.5793187971188,45.7544541485796
"prevalence_ge_5","aitchison",31.8839720734823,27.6617094396088,22.2257518102202,1.4345508914943,1.24457924644371,121.34887709066,118.059985881203
"prevalence_ge_5","binary_jaccard",0.859677653297582,0.6875,0.559374856222682,1.53685430035731,1.22905059523504,131.553881469381,115.945650930634
"prevalence_ge_5","bray_curtis",0.801129256540875,0.687177001672328,0.383013572114525,2.09164717615105,1.79413224935761,110.835305865459,108.695991229917
"prevalence_ge_5","unweighted_unifrac",0.607538516929092,0.500144835597867,0.383789436521821,1.58299958027779,1.30317509551733,139.958856531344,119.87128939024
"prevalence_ge_5","weighted_unifrac",0.406245518591566,0.357729725421026,0.181389501094273,2.23963082835996,1.97216334607538,40.7928773050058,41.1643910751696
"remove_count_le_1","aitchison",44.9382309193953,40.0697517299239,38.0371533312481,1.18142991742965,1.05343718498004,99.9373355741068,99.9283730150979
"remove_count_le_1","binary_jaccard",0.939860863789947,0.849726775956284,0.799378643806378,1.17573927083496,1.06298408462624,100.642633877757,100.279339271077
"remove_count_le_1","bray_curtis",0.831730998415898,0.727480713023101,0.440632147220932,1.88758583244919,1.6509932777518,100.022200432385,100.024037193143
"remove_count_le_1","unweighted_unifrac",0.736729477563054,0.706156044344893,0.642178960777574,1.14723390606101,1.09962500716288,101.431199140374,101.147933157853
"remove_count_le_1","weighted_unifrac",0.203666661324659,0.177654548702917,0.0371765033913087,5.47837054983159,4.77867826441284,99.7836316774968,99.7439594900491
"remove_count_le_10","aitchison",42.9823303949642,38.6637276277468,35.8933273212274,1.19750197607187,1.07718427109657,101.296873447829,102.181006312374
"remove_count_le_10","binary_jaccard",0.927092071157058,0.822006472491909,0.750627989412817,1.23508859812473,1.09509168867381,105.722903598674,103.308292729585
"remove_count_le_10","bray_curtis",0.831088420100663,0.724535226243428,0.437361246563403,1.90023333487134,1.65660591087234,100.692385067431,100.364073843543
"remove_count_le_10","unweighted_unifrac",0.82706062553517,0.761590259861763,0.673440421906111,1.22811253769747,1.13089478309923,108.58197854846,104.024252981127
"remove_count_le_10","weighted_unifrac",0.175942837749316,0.14474492131382,0.0647153251555063,2.71871982913689,2.23664056335974,49.5190560034757,46.6847469951957
"remove_count_le_2","aitchison",44.856973516131,40.0090443193195,37.928573082094,1.18266968332927,1.05485234661274,100.042207559246,100.062614336294
"remove_count_le_2","binary_jaccard",0.938962829005672,0.848066298342541,0.794740362811791,1.18147117340765,1.06709856202859,101.133281580319,100.667489085661
"remove_count_le_2","bray_curtis",0.8317082184994,0.727447066635603,0.440474780786894,1.88820848497519,1.65150673402015,100.055194468833,100.055144508705
"remove_count_le_2","unweighted_unifrac",0.855559397192178,0.796807129348962,0.72033585116131,1.18772291537741,1.10616058893135,105.010982430662,101.74910226874
"remove_count_le_2","weighted_unifrac",0.170302945867265,0.137920285872336,0.0588594690013713,2.89338230121134,2.34321321976457,52.7003770957289,48.9092070100816
