"condition_id","distance","pair_class","n_units","median_distance","IQR_distance","median_absolute_change","median_percent_change"
"prevalence_ge_2","unweighted_unifrac","within_participant_site_between_systems",10,0.542341626238904,0.144599839901513,-0.115850556493652,-16.6117462943707
"prevalence_ge_2","weighted_unifrac","between_participants_matched_site_system",10,0.365720203602268,0.0999178429676265,0.164745280191756,105.712289215481
"prevalence_ge_2","weighted_unifrac","between_sites_matched_participant_system",25,0.335066480377321,0.187831136167213,0.0969367270145972,60.6842742681472
"prevalence_ge_2","weighted_unifrac","within_participant_site_between_systems",10,0.152853862593731,0.0851645600745336,0.0897007053958913,179.58306732184
"prevalence_ge_5","bray_curtis","between_participants_matched_site_system",10,0.801129256540875,0.121720671443005,-0.0280259671865411,-3.47556417099425
"prevalence_ge_5","bray_curtis","between_sites_matched_participant_system",25,0.687177001672328,0.333441513118745,-0.0215729066424922,-3.56431282058084
"prevalence_ge_5","bray_curtis","within_participant_site_between_systems",10,0.383013572114525,0.241156101533012,-0.0618925707945344,-19.5536933572786
"prevalence_ge_5","unweighted_unifrac","between_participants_matched_site_system",10,0.607538516929092,0.108271922513428,-0.114245533058473,-16.0754245705259
"prevalence_ge_5","unweighted_unifrac","between_sites_matched_participant_system",25,0.500144835597867,0.1998322174963,-0.188469356247463,-24.9509029394356
"prevalence_ge_5","unweighted_unifrac","within_participant_site_between_systems",10,0.383789436521821,0.0833878861088393,-0.216043402544566,-38.3032737262609
"prevalence_ge_5","weighted_unifrac","between_participants_matched_site_system",10,0.406245518591566,0.14270745234635,0.224896788909023,141.596601610458
"prevalence_ge_5","weighted_unifrac","between_sites_matched_participant_system",25,0.357729725421026,0.180927151293168,0.110875323184183,67.184106156171
"prevalence_ge_5","weighted_unifrac","within_participant_site_between_systems",10,0.181389501094273,0.0892511541312081,0.120259776998612,231.768106707401
"remove_count_le_1","bray_curtis","between_participants_matched_site_system",10,0.831730998415898,0.124489770661284,-2.43727463912768e-05,-0.00281047464571924
"remove_count_le_1","bray_curtis","between_sites_matched_participant_system",25,0.727480713023101,0.273411457369812,-1.47087285916614e-05,-0.00170686541262936
"remove_count_le_1","bray_curtis","within_participant_site_between_systems",10,0.440632147220932,0.288097149752281,-4.98333815908414e-05,-0.0100168924416716
"remove_count_le_1","unweighted_unifrac","between_participants_matched_site_system",10,0.736729477563054,0.0675290931154924,-0.00328176378576861,-0.449880552994403
"remove_count_le_1","unweighted_unifrac","between_sites_matched_participant_system",25,0.706156044344893,0.113547969250908,-0.00390135917419554,-0.516489449666382
"remove_count_le_1","unweighted_unifrac","within_participant_site_between_systems",10,0.642178960777574,0.152978208794659,-0.00389019303407434,-0.568526112049306
"remove_count_le_1","weighted_unifrac","between_participants_matched_site_system",10,0.203666661324659,0.103671958535526,0.000111525528633222,0.0526743873958733
"remove_count_le_1","weighted_unifrac","between_sites_matched_participant_system",25,0.177654548702917,0.163802524395759,7.23182399847422e-05,0.04794511417508
"remove_count_le_1","weighted_unifrac","within_participant_site_between_systems",10,0.0371765033913087,0.0575475344086231,0.000103679225868267,0.130734836976586
"remove_count_le_10","bray_curtis","between_participants_matched_site_system",10,0.831088420100663,0.126553779284561,-0.000917257650947134,-0.104405783514219
"remove_count_le_10","bray_curtis","between_sites_matched_participant_system",25,0.724535226243428,0.276380658549289,-0.00140908164221881,-0.278541123149336
"remove_count_le_10","bray_curtis","within_participant_site_between_systems",10,0.437361246563403,0.287823336111852,-0.00210611968539224,-0.742884832113164
"remove_count_le_10","unweighted_unifrac","between_participants_matched_site_system",10,0.82706062553517,0.041724047398319,0.029433259508256,3.69230884516578
"remove_count_le_10","unweighted_unifrac","between_sites_matched_participant_system",25,0.761590259861763,0.111152410628842,0.0548706520205232,6.9416094720718
"remove_count_le_10","unweighted_unifrac","within_participant_site_between_systems",10,0.673440421906111,0.0805845397791511,0.00753027729066957,1.11430722774315
"remove_count_le_10","weighted_unifrac","between_participants_matched_site_system",10,0.175942837749316,0.0619209812037818,-0.0127792835121767,-6.40694713006279
"remove_count_le_10","weighted_unifrac","between_sites_matched_participant_system",25,0.14474492131382,0.122912644686762,-0.00425424984030855,-1.69846776219111
"remove_count_le_10","weighted_unifrac","within_participant_site_between_systems",10,0.0647153251555063,0.0695689850399404,0.00121158389027179,5.48112239499183
"remove_count_le_2","bray_curtis","between_participants_matched_site_system",10,0.8317082184994,0.124544275224348,-4.85455190603057e-05,-0.00557819180816254
"remove_count_le_2","bray_curtis","between_sites_matched_participant_system",25,0.727447066635603,0.273492348290749,-6.56000594162487e-05,-0.00946989367133532
"remove_count_le_2","bray_curtis","within_participant_site_between_systems",10,0.440474780786894,0.288036935023019,-0.00016136549545551,-0.0298009040171526
"remove_count_le_2","unweighted_unifrac","between_participants_matched_site_system",10,0.855559397192178,0.0640832270673837,0.0689100312072059,9.6091342339469
"remove_count_le_2","unweighted_unifrac","between_sites_matched_participant_system",25,0.796807129348962,0.125341343432841,0.0826618963025968,11.9084333207221
"remove_count_le_2","unweighted_unifrac","within_participant_site_between_systems",10,0.72033585116131,0.0670630831027488,0.0540086297416764,8.46135395751687
"remove_count_le_2","weighted_unifrac","between_participants_matched_site_system",10,0.170302945867265,0.0671199521178002,-0.0260487658204659,-12.6307901232591
"remove_count_le_2","weighted_unifrac","between_sites_matched_participant_system",25,0.137920285872336,0.137147217442139,-0.00689584790716699,-3.0790259796543
"remove_count_le_2","weighted_unifrac","within_participant_site_between_systems",10,0.0588594690013713,0.0663036876719716,0.00132440083593134,5.03263162118909
