"condition_axis","condition_id","distance","variable","n_samples","n_participants","df","pseudo_F","R2","p_value","permutations","permutation_scheme"
"decontam_threshold","0.5","unweighted_unifrac","subject_id",50,5,4,2.78705493880433,0.198549834773371,1e-04,9999,"unrestricted"
"decontam_threshold","0.5","unweighted_unifrac","site_group",50,5,1,2.6857876183437,0.0529889687927368,1e-04,9999,"restricted within participant"
"decontam_threshold","0.5","unweighted_unifrac","swab_type2",50,5,4,0.737577934811997,0.0615285205087232,0.8826,9999,"restricted within participant"
"decontam_threshold","0.5","bray_curtis","subject_id",50,5,4,7.75233747101195,0.407967571507355,1e-04,9999,"unrestricted"
"decontam_threshold","0.5","bray_curtis","site_group",50,5,1,6.26867632170853,0.115511870688487,1e-04,9999,"restricted within participant"
"decontam_threshold","0.5","bray_curtis","swab_type2",50,5,4,0.347511329706447,0.0299643018081227,0.9947,9999,"restricted within participant"
"decontam_threshold","0.6","weighted_unifrac","subject_id",33,5,4,4.94666402125627,0.414062370252888,0.0018,9999,"unrestricted"
"decontam_threshold","0.6","weighted_unifrac","site_group",33,5,1,3.03844894389101,0.0892651997421972,0.1932,9999,"restricted within participant"
"decontam_threshold","0.6","weighted_unifrac","swab_type2",33,5,4,0.435080405602215,0.0585172428363235,0.6831,9999,"restricted within participant"
"decontam_threshold","0.6","unweighted_unifrac","subject_id",33,5,4,2.60872812406958,0.27149567459764,1e-04,9999,"unrestricted"
"decontam_threshold","0.6","unweighted_unifrac","site_group",33,5,1,1.56847575826821,0.0481593234485349,0.0898,9999,"restricted within participant"
"decontam_threshold","0.6","unweighted_unifrac","swab_type2",33,5,4,0.762562610018401,0.0982359368070325,0.8323,9999,"restricted within participant"
"decontam_threshold","0.6","bray_curtis","subject_id",33,5,4,6.77286773859386,0.491754358434385,1e-04,9999,"unrestricted"
"decontam_threshold","0.6","bray_curtis","site_group",33,5,1,3.76027907873521,0.108177470906313,3e-04,9999,"restricted within participant"
"decontam_threshold","0.6","bray_curtis","swab_type2",33,5,4,0.451305529640761,0.0605673096943213,0.9613,9999,"restricted within participant"
"decontam_threshold","0.7","weighted_unifrac","subject_id",32,5,4,5.25742642563433,0.437847898398144,0.0035,9999,"unrestricted"
"decontam_threshold","0.7","weighted_unifrac","site_group",32,5,1,2.68959425229967,0.0822767707528355,0.2509,9999,"restricted within participant"
"decontam_threshold","0.7","weighted_unifrac","swab_type2",32,5,4,0.29632406174851,0.0420537090193066,0.7424,9999,"restricted within participant"
"decontam_threshold","0.7","unweighted_unifrac","subject_id",32,5,4,2.16366007612014,0.242735313848979,1e-04,9999,"unrestricted"
"decontam_threshold","0.7","unweighted_unifrac","site_group",32,5,1,1.35627114740213,0.0432535852565649,0.0967,9999,"restricted within participant"
"decontam_threshold","0.7","unweighted_unifrac","swab_type2",32,5,4,0.868168668034398,0.113960284402367,0.5392,9999,"restricted within participant"
"decontam_threshold","0.7","bray_curtis","subject_id",32,5,4,6.76222598141316,0.500452404416192,1e-04,9999,"unrestricted"
"decontam_threshold","0.7","bray_curtis","site_group",32,5,1,3.73126594655451,0.110617429908101,4e-04,9999,"restricted within participant"
"decontam_threshold","0.7","bray_curtis","swab_type2",32,5,4,0.450882874897584,0.0626149435744011,0.9321,9999,"restricted within participant"
"decontam_threshold","0.8","weighted_unifrac","subject_id",30,5,4,6.60079849610255,0.513648898790567,0.0019,9999,"unrestricted"
"decontam_threshold","0.8","weighted_unifrac","site_group",30,5,1,3.84814989677629,0.120828051527282,0.0113,9999,"restricted within participant"
"decontam_threshold","0.8","weighted_unifrac","swab_type2",30,5,4,0.49681280640796,0.0736366667733984,0.599,9999,"restricted within participant"
"decontam_threshold","0.8","unweighted_unifrac","subject_id",30,5,4,1.9274248384747,0.235700709764544,1e-04,9999,"unrestricted"
"decontam_threshold","0.8","unweighted_unifrac","site_group",30,5,1,1.15610027058041,0.0396520885801371,0.2005,9999,"restricted within participant"
"decontam_threshold","0.8","unweighted_unifrac","swab_type2",30,5,4,0.833797494900131,0.117704874468872,0.7982,9999,"restricted within participant"
"decontam_threshold","0.8","bray_curtis","subject_id",30,5,4,6.82971241134383,0.52216074761862,1e-04,9999,"unrestricted"
"decontam_threshold","0.8","bray_curtis","site_group",30,5,1,4.18591131546524,0.130054149296494,1e-04,9999,"restricted within participant"
"decontam_threshold","0.8","bray_curtis","swab_type2",30,5,4,0.490039700747238,0.0727057587944044,0.8357,9999,"restricted within participant"
"decontam_threshold","0.9","weighted_unifrac","subject_id",14,5,4,2.48235580187131,0.524549696979613,0.075,9999,"unrestricted"
"decontam_threshold","0.9","weighted_unifrac","site_group",14,5,1,1.73083776404668,0.126054782220118,0.8774,9999,"restricted within participant"
"decontam_threshold","0.9","weighted_unifrac","swab_type2",14,5,4,1.11363170050205,0.331080153732595,0.6539,9999,"restricted within participant"
"decontam_threshold","0.9","unweighted_unifrac","subject_id",14,5,4,1.1726990824173,0.342624067783684,0.0653,9999,"unrestricted"
"decontam_threshold","0.9","unweighted_unifrac","site_group",14,5,1,1.03143052203563,0.0791494471993323,0.4841,9999,"restricted within participant"
"decontam_threshold","0.9","unweighted_unifrac","swab_type2",14,5,4,0.899379593283172,0.285573576205714,0.6229,9999,"restricted within participant"
"decontam_threshold","0.9","bray_curtis","subject_id",14,5,4,2.86493023243678,0.560111302060109,5e-04,9999,"unrestricted"
"decontam_threshold","0.9","bray_curtis","site_group",14,5,1,1.40277954484508,0.104663330479431,0.1218,9999,"restricted within participant"
"decontam_threshold","0.9","bray_curtis","swab_type2",14,5,4,0.636624086597968,0.22054277505467,0.6544,9999,"restricted within participant"
"filter_at_threshold_0.5","no_filter","weighted_unifrac","subject_id",50,5,4,8.7320326815521,0.436994214788455,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","no_filter","weighted_unifrac","site_group",50,5,1,17.6961588763625,0.269363676340134,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","no_filter","weighted_unifrac","swab_type2",50,5,4,0.285693089837015,0.0247660099494769,0.7958,9999,"restricted within participant"
"filter_at_threshold_0.5","no_filter","unweighted_unifrac","subject_id",50,5,4,2.83914864491957,0.201513144368971,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","no_filter","unweighted_unifrac","site_group",50,5,1,2.62645052738206,0.0518790177865916,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","no_filter","unweighted_unifrac","swab_type2",50,5,4,0.747597986049265,0.062312305089616,0.8515,9999,"restricted within participant"
"filter_at_threshold_0.5","no_filter","bray_curtis","subject_id",50,5,4,7.76483303333525,0.408356624521634,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","no_filter","bray_curtis","site_group",50,5,1,6.26280728829979,0.115416204971212,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","no_filter","bray_curtis","swab_type2",50,5,4,0.348221439030188,0.0300236929309142,0.9945,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_1","weighted_unifrac","subject_id",50,5,4,8.63637675123074,0.434286087368643,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","remove_count_le_1","weighted_unifrac","site_group",50,5,1,18.1378397928946,0.274243002941913,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_1","weighted_unifrac","swab_type2",50,5,4,0.281873898022242,0.0244430263905838,0.8027,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_1","unweighted_unifrac","subject_id",50,5,4,2.78705493880433,0.198549834773371,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","remove_count_le_1","unweighted_unifrac","site_group",50,5,1,2.6857876183437,0.0529889687927368,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_1","unweighted_unifrac","swab_type2",50,5,4,0.737577934811997,0.0615285205087232,0.8826,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_1","bray_curtis","subject_id",50,5,4,7.75233747101195,0.407967571507355,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","remove_count_le_1","bray_curtis","site_group",50,5,1,6.26867632170853,0.115511870688487,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_1","bray_curtis","swab_type2",50,5,4,0.347511329706447,0.0299643018081227,0.9947,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_2","weighted_unifrac","subject_id",50,5,4,8.74152752256026,0.43726161058456,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","remove_count_le_2","weighted_unifrac","site_group",50,5,1,18.0362084726253,0.273126045389205,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_2","weighted_unifrac","swab_type2",50,5,4,0.285388816229477,0.0247402858088281,0.7932,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_2","unweighted_unifrac","subject_id",50,5,4,2.95981068949253,0.208293463872898,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","remove_count_le_2","unweighted_unifrac","site_group",50,5,1,2.67666057090261,0.0528184087259982,2e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_2","unweighted_unifrac","swab_type2",50,5,4,0.751108820249827,0.0625866185783149,0.8082,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_2","bray_curtis","subject_id",50,5,4,7.75999145401944,0.408205941217227,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","remove_count_le_2","bray_curtis","site_group",50,5,1,6.24543928125104,0.115132983786338,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_2","bray_curtis","swab_type2",50,5,4,0.346857433776379,0.0299096057494111,0.9947,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_10","weighted_unifrac","subject_id",50,5,4,9.22730176923059,0.450611212024801,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","remove_count_le_10","weighted_unifrac","site_group",50,5,1,17.4732793323175,0.266876495426932,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_10","weighted_unifrac","swab_type2",50,5,4,0.296314146484472,0.0256630941030382,0.7813,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_10","unweighted_unifrac","subject_id",50,5,4,3.47793174257609,0.236145292045451,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","remove_count_le_10","unweighted_unifrac","site_group",50,5,1,2.97214096662743,0.0583091255392501,3e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_10","unweighted_unifrac","swab_type2",50,5,4,0.800794913266301,0.0664516257250991,0.5001,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_10","bray_curtis","subject_id",50,5,4,7.78804779954114,0.409078067328355,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","remove_count_le_10","bray_curtis","site_group",50,5,1,6.29596784451611,0.115956453019596,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","remove_count_le_10","bray_curtis","swab_type2",50,5,4,0.343365318811294,0.0296173983454271,0.9948,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_2","weighted_unifrac","subject_id",48,5,4,8.74508347372791,0.448578919167646,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","prevalence_ge_2","weighted_unifrac","site_group",48,5,1,9.76068795908067,0.175046046172232,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_2","weighted_unifrac","swab_type2",48,5,4,0.222712391613739,0.0202969314846851,0.9693,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_2","unweighted_unifrac","subject_id",48,5,4,5.73632158055944,0.347944297491059,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","prevalence_ge_2","unweighted_unifrac","site_group",48,5,1,3.20141758685918,0.0650675883719704,2e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_2","unweighted_unifrac","swab_type2",48,5,4,0.565185067200374,0.0499492552568752,0.8833,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_2","bray_curtis","subject_id",48,5,4,8.29005707342162,0.435400852080106,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","prevalence_ge_2","bray_curtis","site_group",48,5,1,6.10886614467154,0.117232758964881,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_2","bray_curtis","swab_type2",48,5,4,0.335075860793588,0.030227656084764,0.9935,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_5","weighted_unifrac","subject_id",48,5,4,10.0741018373897,0.483771252947948,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","prevalence_ge_5","weighted_unifrac","site_group",48,5,1,8.3171851484833,0.15312253618716,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_5","weighted_unifrac","swab_type2",48,5,4,0.207939348159306,0.0189761360738171,0.9748,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_5","unweighted_unifrac","subject_id",48,5,4,10.2801895306185,0.488830094262881,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","prevalence_ge_5","unweighted_unifrac","site_group",48,5,1,3.59473346419145,0.0724821611711439,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_5","unweighted_unifrac","swab_type2",48,5,4,0.438279578364605,0.0391730985353754,0.7958,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_5","bray_curtis","subject_id",48,5,4,8.98782479148293,0.455360450628849,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","prevalence_ge_5","bray_curtis","site_group",48,5,1,6.45636981847835,0.123080759130305,1e-04,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_5","bray_curtis","swab_type2",48,5,4,0.313113822701697,0.0283025039531982,0.99,9999,"restricted within participant"
"filter_at_threshold_0.5","prevalence_ge_10pct","weighted_unifrac","subject_id",48,5,4,10.0741018373897,0.483771252947948,1e-04,9999,"unrestricted"
"filter_at_threshold_0.5","prevalence_ge_10pct","weighted_unifrac","site_group",48,5,1,8.3171851484833,0.15312253618716,1e-04,9999,"restricted within participant"
