"ASV","Phylum","Genus","Species","true_sample_reads","control_reads","total_reads","true_sample_prevalence","control_prevalence"
"89f79a0b1148f055129fe2dea6ff3fb2","Bacteroidota","Chryseobacterium","Chryseobacterium_g",146,34,180,6,1
"0f257eb6554772452f4dd12919b5ea5c","Proteobacteria","Sphingomonadaceae_f","Sphingomonadaceae_f",65,115,180,2,2
"2518e09255b5f888261ca27481e704b0","Firmicutes","Atopostipes","Atopostipes_g",29,145,174,3,1
"51afe0f294ef41a2de597e8f0135596b","Actinobacteriota","Kocuria","Kocuria_g",126,47,173,3,1
"ba860ceb436569d7f3ecabfcd7c2e1d1","Proteobacteria","Massilia","Massilia_g",105,59,164,2,1
"6f715e2799d9b2427abf0eece1ffc7d3","Firmicutes","Staphylococcus","Staphylococcus_g",112,51,163,2,1
"bdcd181905b312e4ec460df1ed422fcc","Firmicutes","Atopostipes","Atopostipes_g",34,123,157,1,1
"83f46afc883880902be3eb1e92d781a4","Proteobacteria","Sphingobium","Sphingobium_g",40,112,152,1,1
"7bee88dca1fbc5e28ab85fcab87f145c","Proteobacteria","Methylobacterium-Methylorubrum","Methylobacterium-Methylorubrum_g",5,145,150,1,2
"f89bf87b6d16ef145e76907d79b43b08","Proteobacteria","Methyloversatilis","Methyloversatilis_g",115,34,149,3,1
"0c2b4451cba9e0b58b63534385c29636","Proteobacteria","Devosia","Devosia_g",81,66,147,3,1
"8ada78492f809c50ddca39071a1f2d33","Firmicutes","Staphylococcus","Staphylococcus_g",18,128,146,1,1
"b29c8550b6743108ebda7f81af92a068","Proteobacteria","Acetobacter","Acetobacter_g",18,127,145,2,2
"83df293667c11dd7ccebd05bb943a3f4","Proteobacteria","Sphingomonas","Sphingomonas_g",103,39,142,8,4
"f45d2277ac8ec2cf772e1bd2ad66593d","Bacteroidota","Cloacibacterium","Cloacibacterium_g",25,116,141,3,1
"f60e801295199ebfb6e813db824fdc39","Proteobacteria","Sphingomonas","Sphingomonas_g",125,15,140,7,2
