"filter_id","filter","distance_id","distance","variable_id","variable","n_samples","permutation_strata","Df","SumOfSqs","R2","F","p_value","error"
"remove_count_le_2","Remove count <=2","unifrac","Unweighted UniFrac","site_group","Anatomical site",50,"Participant identity",1,0.853095664106875,0.0528184087259982,2.67666057090261,1e-04,NA
"remove_count_le_2","Remove count <=2","unifrac","Unweighted UniFrac","swab_type2","Sampling system",50,"Participant identity",4,1.01086674566912,0.0625866185783149,0.751108820249827,0.8015,NA
"remove_count_le_2","Remove count <=2","unifrac","Unweighted UniFrac","swab_material","Swab-tip material",50,"Participant identity",3,0.816369416891615,0.0505445465813366,0.816274611013354,0.5566,NA
"remove_count_le_2","Remove count <=2","unifrac","Unweighted UniFrac","collection_medium","Collection medium",50,"Participant identity",3,0.816235113495804,0.0505362313454824,0.816133175601659,0.5523,NA
"remove_count_le_2","Remove count <=2","bray","Bray-Curtis","subject_id","Participant identity",50,"None",4,6.13209004530202,0.408205941217227,7.75999145401944,1e-04,NA
"remove_count_le_2","Remove count <=2","bray","Bray-Curtis","site_group","Anatomical site",50,"Participant identity",1,1.72953343515013,0.115132983786338,6.24543928125104,1e-04,NA
"remove_count_le_2","Remove count <=2","bray","Bray-Curtis","swab_type2","Sampling system",50,"Participant identity",4,0.449303592025064,0.0299096057494111,0.346857433776379,0.9947,NA
"remove_count_le_2","Remove count <=2","bray","Bray-Curtis","swab_material","Swab-tip material",50,"Participant identity",3,0.38061972215902,0.0253374022204381,0.398606486933836,0.958,NA
"remove_count_le_2","Remove count <=2","bray","Bray-Curtis","collection_medium","Collection medium",50,"Participant identity",3,0.361586290542322,0.0240703693148075,0.37818197599068,0.9736,NA
"remove_count_le_10","Remove count <=10","wunifrac","Weighted UniFrac","subject_id","Participant identity",50,"None",4,0.501679346402231,0.450611212024801,9.22730176923059,1e-04,NA
"remove_count_le_10","Remove count <=10","wunifrac","Weighted UniFrac","site_group","Anatomical site",50,"Participant identity",1,0.29712182525217,0.266876495426932,17.4732793323175,1e-04,NA
"remove_count_le_10","Remove count <=10","wunifrac","Weighted UniFrac","swab_type2","Sampling system",50,"Participant identity",4,0.0285715133860508,0.0256630941030382,0.296314146484472,0.7797,NA
"remove_count_le_10","Remove count <=10","wunifrac","Weighted UniFrac","swab_material","Swab-tip material",50,"Participant identity",3,0.0268030172383124,0.0240746209113301,0.378250422846646,0.6365,NA
"remove_count_le_10","Remove count <=10","wunifrac","Weighted UniFrac","collection_medium","Collection medium",50,"Participant identity",3,0.0149012619567891,0.0133843973430475,0.208011534962604,0.8488,NA
"remove_count_le_10","Remove count <=10","unifrac","Unweighted UniFrac","subject_id","Participant identity",50,"None",4,3.70089400289143,0.236145292045451,3.47793174257609,1e-04,NA
"remove_count_le_10","Remove count <=10","unifrac","Unweighted UniFrac","site_group","Anatomical site",50,"Participant identity",1,0.913826784996926,0.0583091255392501,2.97214096662743,5e-04,NA
"remove_count_le_10","Remove count <=10","unifrac","Unweighted UniFrac","swab_type2","Sampling system",50,"Participant identity",4,1.04143690944756,0.0664516257250991,0.800794913266301,0.4999,NA
"remove_count_le_10","Remove count <=10","unifrac","Unweighted UniFrac","swab_material","Swab-tip material",50,"Participant identity",3,0.805056487246031,0.0513687501304467,0.830305947411241,0.4161,NA
"remove_count_le_10","Remove count <=10","unifrac","Unweighted UniFrac","collection_medium","Collection medium",50,"Participant identity",3,0.813707164228977,0.0519207293659862,0.839716545796917,0.3937,NA
"remove_count_le_10","Remove count <=10","bray","Bray-Curtis","subject_id","Participant identity",50,"None",4,6.13052630874701,0.409078067328355,7.78804779954114,1e-04,NA
"remove_count_le_10","Remove count <=10","bray","Bray-Curtis","site_group","Anatomical site",50,"Participant identity",1,1.73774675955682,0.115956453019596,6.29596784451611,1e-04,NA
"remove_count_le_10","Remove count <=10","bray","Bray-Curtis","swab_type2","Sampling system",50,"Participant identity",4,0.443852296797764,0.0296173983454271,0.343365318811294,0.995,NA
"remove_count_le_10","Remove count <=10","bray","Bray-Curtis","swab_material","Swab-tip material",50,"Participant identity",3,0.377501504603188,0.0251899393525613,0.396226662333317,0.9581,NA
"remove_count_le_10","Remove count <=10","bray","Bray-Curtis","collection_medium","Collection medium",50,"Participant identity",3,0.354767609331216,0.0236729508474415,0.371786530591878,0.9755,NA
"prevalence_ge_2","Prevalence >=2 samples","wunifrac","Weighted UniFrac","subject_id","Participant identity",48,"None",4,1.40672822481868,0.448578919167646,8.74508347372791,1e-04,NA
"prevalence_ge_2","Prevalence >=2 samples","wunifrac","Weighted UniFrac","site_group","Anatomical site",48,"Participant identity",1,0.548938443764376,0.175046046172232,9.76068795908067,1e-04,NA
"prevalence_ge_2","Prevalence >=2 samples","wunifrac","Weighted UniFrac","swab_type2","Sampling system",48,"Participant identity",4,0.0636504864064882,0.0202969314846851,0.222712391613739,0.9687,NA
"prevalence_ge_2","Prevalence >=2 samples","wunifrac","Weighted UniFrac","swab_material","Swab-tip material",48,"Participant identity",3,0.0505163069887198,0.0161086910673607,0.240128965645194,0.927,NA
"prevalence_ge_2","Prevalence >=2 samples","wunifrac","Weighted UniFrac","collection_medium","Collection medium",48,"Participant identity",3,0.0459905631846397,0.014665517305545,0.218295672781564,0.9517,NA
"prevalence_ge_2","Prevalence >=2 samples","unifrac","Unweighted UniFrac","subject_id","Participant identity",48,"None",4,3.99147932364973,0.347944297491059,5.73632158055944,1e-04,NA
"prevalence_ge_2","Prevalence >=2 samples","unifrac","Unweighted UniFrac","site_group","Anatomical site",48,"Participant identity",1,0.74642963111975,0.0650675883719704,3.20141758685918,1e-04,NA
"prevalence_ge_2","Prevalence >=2 samples","unifrac","Unweighted UniFrac","swab_type2","Sampling system",48,"Participant identity",4,0.572998094887999,0.0499492552568752,0.565185067200374,0.8895,NA
"prevalence_ge_2","Prevalence >=2 samples","unifrac","Unweighted UniFrac","swab_material","Swab-tip material",48,"Participant identity",3,0.457107727178258,0.0398468873603842,0.608674811262447,0.7396,NA
"prevalence_ge_2","Prevalence >=2 samples","unifrac","Unweighted UniFrac","collection_medium","Collection medium",48,"Participant identity",3,0.435313790888119,0.0379470714682895,0.57850980096386,0.8287,NA
"prevalence_ge_2","Prevalence >=2 samples","bray","Bray-Curtis","subject_id","Participant identity",48,"None",4,6.14807935017676,0.435400852080106,8.29005707342162,1e-04,NA
"prevalence_ge_2","Prevalence >=2 samples","bray","Bray-Curtis","site_group","Anatomical site",48,"Participant identity",1,1.65538560871633,0.117232758964881,6.10886614467154,1e-04,NA
"prevalence_ge_2","Prevalence >=2 samples","bray","Bray-Curtis","swab_type2","Sampling system",48,"Participant identity",4,0.426829730100737,0.030227656084764,0.335075860793588,0.9937,NA
"prevalence_ge_2","Prevalence >=2 samples","bray","Bray-Curtis","swab_material","Swab-tip material",48,"Participant identity",3,0.343124863460748,0.0242997608539949,0.365272527592285,0.9699,NA
