"sample_1","sample_2","distance_value","subject_1","site_1","type_1","subject_2","site_2","type_2","same_participant","same_site","same_system","comparison_group","filter_id","filter","distance_id","distance"
"001AcRUSw_1","001FhLUSw_4",0.0821464551322492,"S001","Antecubital","Type 1","S001","Forehead","Type 4",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_2","001FhLUSw_4",0.318503354354322,"S001","Antecubital","Type 2","S001","Forehead","Type 4",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhCUSw","001FhLUSw_4",0.0467569675890451,"S001","Forehead","Type 5","S001","Forehead","Type 4",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_3","001FhLUSw_4",0.0108815883670136,"S001","Forehead","Type 3","S001","Forehead","Type 4",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcCUSw","001FhRUSw_1",0.278616936086942,"S001","Antecubital","Type 5","S001","Forehead","Type 1",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_3","001FhRUSw_1",0.258295836511236,"S001","Antecubital","Type 3","S001","Forehead","Type 1",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_4","001FhRUSw_1",0.212552840912585,"S001","Antecubital","Type 4","S001","Forehead","Type 1",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_1","001FhRUSw_1",0.120092724067087,"S001","Antecubital","Type 1","S001","Forehead","Type 1",TRUE,FALSE,TRUE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_2","001FhRUSw_1",0.363985469418063,"S001","Antecubital","Type 2","S001","Forehead","Type 1",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhCUSw","001FhRUSw_1",0.0100631353577208,"S001","Forehead","Type 5","S001","Forehead","Type 1",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_3","001FhRUSw_1",0.027854911767414,"S001","Forehead","Type 3","S001","Forehead","Type 1",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_4","001FhRUSw_1",0.0368129936945038,"S001","Forehead","Type 4","S001","Forehead","Type 1",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcCUSw","001FhRUSw_2",0.260024620381416,"S001","Antecubital","Type 5","S001","Forehead","Type 2",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_3","001FhRUSw_2",0.240062328736214,"S001","Antecubital","Type 3","S001","Forehead","Type 2",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_4","001FhRUSw_2",0.194836748557428,"S001","Antecubital","Type 4","S001","Forehead","Type 2",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_1","001FhRUSw_2",0.101163942929572,"S001","Antecubital","Type 1","S001","Forehead","Type 2",TRUE,FALSE,FALSE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_2","001FhRUSw_2",0.344743226206986,"S001","Antecubital","Type 2","S001","Forehead","Type 2",TRUE,FALSE,TRUE,"Within participant, between sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhCUSw","001FhRUSw_2",0.0302775124396759,"S001","Forehead","Type 5","S001","Forehead","Type 2",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_3","001FhRUSw_2",0.0085409652449259,"S001","Forehead","Type 3","S001","Forehead","Type 2",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_4","001FhRUSw_2",0.0179048514718199,"S001","Forehead","Type 4","S001","Forehead","Type 2",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhRUSw_1","001FhRUSw_2",0.0203147615071153,"S001","Forehead","Type 1","S001","Forehead","Type 2",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcCUSw","002AcCUSw",0.0326442324915525,"S001","Antecubital","Type 5","S002","Antecubital","Type 5",FALSE,TRUE,TRUE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_3","002AcCUSw",0.0401809932839207,"S001","Antecubital","Type 3","S002","Antecubital","Type 5",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_4","002AcCUSw",0.0704921338811971,"S001","Antecubital","Type 4","S002","Antecubital","Type 5",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_1","002AcCUSw",0.174957213710973,"S001","Antecubital","Type 1","S002","Antecubital","Type 5",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_2","002AcCUSw",0.0978687627278744,"S001","Antecubital","Type 2","S002","Antecubital","Type 5",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhCUSw","002AcCUSw",0.2996608036021,"S001","Forehead","Type 5","S002","Antecubital","Type 5",FALSE,FALSE,TRUE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_3","002AcCUSw",0.261366439971452,"S001","Forehead","Type 3","S002","Antecubital","Type 5",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_4","002AcCUSw",0.248237188398633,"S001","Forehead","Type 4","S002","Antecubital","Type 5",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhRUSw_1","002AcCUSw",0.288903012819757,"S001","Forehead","Type 1","S002","Antecubital","Type 5",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhRUSw_2","002AcCUSw",0.271206615913786,"S001","Forehead","Type 2","S002","Antecubital","Type 5",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcCUSw","002AcLUSw_3",0.0980190376806424,"S001","Antecubital","Type 5","S002","Antecubital","Type 3",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_3","002AcLUSw_3",0.0837998045095088,"S001","Antecubital","Type 3","S002","Antecubital","Type 3",FALSE,TRUE,TRUE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_4","002AcLUSw_3",0.048634322742379,"S001","Antecubital","Type 4","S002","Antecubital","Type 3",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_1","002AcLUSw_3",0.116369257901665,"S001","Antecubital","Type 1","S002","Antecubital","Type 3",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_2","002AcLUSw_3",0.168230846631681,"S001","Antecubital","Type 2","S002","Antecubital","Type 3",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhCUSw","002AcLUSw_3",0.234065173856457,"S001","Forehead","Type 5","S002","Antecubital","Type 3",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_3","002AcLUSw_3",0.198778566992216,"S001","Forehead","Type 3","S002","Antecubital","Type 3",FALSE,FALSE,TRUE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_4","002AcLUSw_3",0.186915577411316,"S001","Forehead","Type 4","S002","Antecubital","Type 3",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhRUSw_1","002AcLUSw_3",0.224262635321145,"S001","Forehead","Type 1","S002","Antecubital","Type 3",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhRUSw_2","002AcLUSw_3",0.207315908312332,"S001","Forehead","Type 2","S002","Antecubital","Type 3",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"002AcCUSw","002AcLUSw_3",0.109498706435836,"S002","Antecubital","Type 5","S002","Antecubital","Type 3",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcCUSw","002AcLUSw_4",0.0884087939812408,"S001","Antecubital","Type 5","S002","Antecubital","Type 4",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_3","002AcLUSw_4",0.092264793527416,"S001","Antecubital","Type 3","S002","Antecubital","Type 4",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_4","002AcLUSw_4",0.116165155676901,"S001","Antecubital","Type 4","S002","Antecubital","Type 4",FALSE,TRUE,TRUE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_1","002AcLUSw_4",0.199082078566322,"S001","Antecubital","Type 1","S002","Antecubital","Type 4",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_2","002AcLUSw_4",0.12221745852198,"S001","Antecubital","Type 2","S002","Antecubital","Type 4",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhCUSw","002AcLUSw_4",0.297526469958968,"S001","Forehead","Type 5","S002","Antecubital","Type 4",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_3","002AcLUSw_4",0.267849299265665,"S001","Forehead","Type 3","S002","Antecubital","Type 4",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_4","002AcLUSw_4",0.257786177814451,"S001","Forehead","Type 4","S002","Antecubital","Type 4",FALSE,FALSE,TRUE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhRUSw_1","002AcLUSw_4",0.28920595046225,"S001","Forehead","Type 1","S002","Antecubital","Type 4",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhRUSw_2","002AcLUSw_4",0.275609304999396,"S001","Forehead","Type 2","S002","Antecubital","Type 4",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"002AcCUSw","002AcLUSw_4",0.0942124581341769,"S002","Antecubital","Type 5","S002","Antecubital","Type 4",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"002AcLUSw_3","002AcLUSw_4",0.104951281466835,"S002","Antecubital","Type 3","S002","Antecubital","Type 4",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcCUSw","002AcRUSw_1",0.152809093035468,"S001","Antecubital","Type 5","S002","Antecubital","Type 1",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_3","002AcRUSw_1",0.140355110271002,"S001","Antecubital","Type 3","S002","Antecubital","Type 1",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcLUSw_4","002AcRUSw_1",0.10026902672472,"S001","Antecubital","Type 4","S002","Antecubital","Type 1",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_1","002AcRUSw_1",0.0174624336438123,"S001","Antecubital","Type 1","S002","Antecubital","Type 1",FALSE,TRUE,TRUE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001AcRUSw_2","002AcRUSw_1",0.229640446253704,"S001","Antecubital","Type 2","S002","Antecubital","Type 1",FALSE,TRUE,FALSE,"Between participants, same site","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhCUSw","002AcRUSw_1",0.135113714643888,"S001","Forehead","Type 5","S002","Antecubital","Type 1",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_3","002AcRUSw_1",0.100103452050562,"S001","Forehead","Type 3","S002","Antecubital","Type 1",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhLUSw_4","002AcRUSw_1",0.0898246027135333,"S001","Forehead","Type 4","S002","Antecubital","Type 1",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhRUSw_1","002AcRUSw_1",0.125439038768872,"S001","Forehead","Type 1","S002","Antecubital","Type 1",FALSE,FALSE,TRUE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"001FhRUSw_2","002AcRUSw_1",0.108016031965071,"S001","Forehead","Type 2","S002","Antecubital","Type 1",FALSE,FALSE,FALSE,"Between participants and sites","no_filter","No additional filter","wunifrac","Weighted UniFrac"
"002AcCUSw","002AcRUSw_1",0.165976524197962,"S002","Antecubital","Type 5","S002","Antecubital","Type 1",TRUE,TRUE,FALSE,"Within participant/site, between systems","no_filter","No additional filter","wunifrac","Weighted UniFrac"
