"filter_id","filter","sample_name","bray_curtis_to_unfiltered","composition_similarity","subject_id","site_group","swab_type2","Type"
"no_filter","No additional filter","004AcRUSw_2",0,1,"S004","Antecubital","Puritan_gel","Type 2"
"no_filter","No additional filter","004FhCUSw",0,1,"S004","Forehead","Eswab","Type 5"
"no_filter","No additional filter","004FhLUSw_3",0,1,"S004","Forehead","Puritan_buffer","Type 3"
"no_filter","No additional filter","004FhLUSw_4",0,1,"S004","Forehead","Omni","Type 4"
"no_filter","No additional filter","004FhRUSw_1",0,1,"S004","Forehead","Copan","Type 1"
"no_filter","No additional filter","004FhRUSw_2",0,1,"S004","Forehead","Puritan_gel","Type 2"
"no_filter","No additional filter","005AcCUSw",0,1,"S005","Antecubital","Eswab","Type 5"
"no_filter","No additional filter","005AcLUSw_3",0,1,"S005","Antecubital","Puritan_buffer","Type 3"
"no_filter","No additional filter","005AcLUSw_4",0,1,"S005","Antecubital","Omni","Type 4"
"no_filter","No additional filter","005AcRUSw_1",0,1,"S005","Antecubital","Copan","Type 1"
"no_filter","No additional filter","005AcRUSw_2",0,1,"S005","Antecubital","Puritan_gel","Type 2"
"no_filter","No additional filter","005FhCUSw",0,1,"S005","Forehead","Eswab","Type 5"
"no_filter","No additional filter","005FhLUSw_3",0,1,"S005","Forehead","Puritan_buffer","Type 3"
"no_filter","No additional filter","005FhLUSw_4",0,1,"S005","Forehead","Omni","Type 4"
"no_filter","No additional filter","005FhRUSw_1",0,1,"S005","Forehead","Copan","Type 1"
"no_filter","No additional filter","005FhRUSw_2",0,1,"S005","Forehead","Puritan_gel","Type 2"
"remove_count_le_1","Remove count <=1","001AcCUSw",5.67988185845775e-05,0.999943201181415,"S001","Antecubital","Eswab","Type 5"
"remove_count_le_1","Remove count <=1","001AcLUSw_3",0.000333463013394106,0.999666536986606,"S001","Antecubital","Puritan_buffer","Type 3"
"remove_count_le_1","Remove count <=1","001AcLUSw_4",0.000203520911773684,0.999796479088226,"S001","Antecubital","Omni","Type 4"
"remove_count_le_1","Remove count <=1","001AcRUSw_1",0,1,"S001","Antecubital","Copan","Type 1"
"remove_count_le_1","Remove count <=1","001AcRUSw_2",0.000304785126485847,0.999695214873514,"S001","Antecubital","Puritan_gel","Type 2"
"remove_count_le_1","Remove count <=1","001FhCUSw",0,1,"S001","Forehead","Eswab","Type 5"
"remove_count_le_1","Remove count <=1","001FhLUSw_3",0.000163632644712615,0.999836367355287,"S001","Forehead","Puritan_buffer","Type 3"
"remove_count_le_1","Remove count <=1","001FhLUSw_4",0,1,"S001","Forehead","Omni","Type 4"
"remove_count_le_1","Remove count <=1","001FhRUSw_1",0,1,"S001","Forehead","Copan","Type 1"
