"group1","group2","p_adjusted","filter_id","filter","site_group","metric","significant_0.05"
"Type 4","Type 1",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Shannon",FALSE
"Type 5","Type 1",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Shannon",FALSE
"Type 3","Type 2",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Shannon",FALSE
"Type 4","Type 2",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Shannon",FALSE
"Type 5","Type 2",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Shannon",FALSE
"Type 4","Type 3",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Shannon",FALSE
"Type 5","Type 3",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Shannon",FALSE
"Type 5","Type 4",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Shannon",FALSE
"Type 2","Type 1",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Observed",FALSE
"Type 3","Type 1",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Observed",FALSE
"Type 4","Type 1",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Observed",FALSE
"Type 5","Type 1",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Observed",FALSE
"Type 3","Type 2",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Observed",FALSE
"Type 4","Type 2",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Observed",FALSE
"Type 5","Type 2",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Observed",FALSE
"Type 4","Type 3",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Observed",FALSE
"Type 5","Type 3",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Observed",FALSE
"Type 5","Type 4",1,"mean_abundance_ge_0.1pct","Mean abundance >=0.1%","Forehead","Observed",FALSE
"Type 2","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Shannon",FALSE
"Type 3","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Shannon",FALSE
"Type 4","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Shannon",FALSE
"Type 5","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Shannon",FALSE
"Type 3","Type 2",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Shannon",FALSE
"Type 4","Type 2",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Shannon",FALSE
"Type 5","Type 2",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Shannon",FALSE
"Type 4","Type 3",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Shannon",FALSE
"Type 5","Type 3",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Shannon",FALSE
"Type 5","Type 4",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Shannon",FALSE
"Type 2","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Observed",FALSE
"Type 3","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Observed",FALSE
"Type 4","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Observed",FALSE
"Type 5","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Observed",FALSE
"Type 3","Type 2",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Observed",FALSE
"Type 4","Type 2",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Observed",FALSE
"Type 5","Type 2",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Observed",FALSE
"Type 4","Type 3",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Observed",FALSE
"Type 5","Type 3",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Observed",FALSE
"Type 5","Type 4",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Antecubital","Observed",FALSE
"Type 2","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Shannon",FALSE
"Type 3","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Shannon",FALSE
"Type 4","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Shannon",FALSE
"Type 5","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Shannon",FALSE
"Type 3","Type 2",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Shannon",FALSE
"Type 4","Type 2",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Shannon",FALSE
"Type 5","Type 2",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Shannon",FALSE
"Type 4","Type 3",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Shannon",FALSE
"Type 5","Type 3",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Shannon",FALSE
"Type 5","Type 4",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Shannon",FALSE
"Type 2","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Observed",FALSE
"Type 3","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Observed",FALSE
"Type 4","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Observed",FALSE
"Type 5","Type 1",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Observed",FALSE
"Type 3","Type 2",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Observed",FALSE
"Type 4","Type 2",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Observed",FALSE
"Type 5","Type 2",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Observed",FALSE
"Type 4","Type 3",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Observed",FALSE
"Type 5","Type 3",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Observed",FALSE
"Type 5","Type 4",1,"mean_abundance_ge_1pct","Mean abundance >=1%","Forehead","Observed",FALSE
