"filter_id","filter","distance_id","distance","comparison_group","n_pairs","mean_distance","median_distance","sd_distance","q25","q75"
"no_filter","No additional filter","wunifrac","Weighted UniFrac","Within participant/site, between systems",100,0.0712839335476704,0.0469584760064461,0.072376703048066,0.0232660732105004,0.0942737750972918
"prevalence_ge_10pct","Prevalence >=10% samples","bray","Bray-Curtis","Between participants and sites",460,0.794027288602125,0.899166099387338,0.205979763567834,0.683798502382573,0.962091558883594
"prevalence_ge_10pct","Prevalence >=10% samples","bray","Bray-Curtis","Between participants, same site",461,0.717188858978543,0.805650102110279,0.271628290133164,0.609087814840027,0.929884275017018
"prevalence_ge_10pct","Prevalence >=10% samples","bray","Bray-Curtis","Within participant, between sites",115,0.673818332494747,0.687542545949626,0.225904677593398,0.517018379850238,0.882658270932607
"prevalence_ge_10pct","Prevalence >=10% samples","bray","Bray-Curtis","Within participant/site, between systems",92,0.319706913901797,0.335772634445201,0.211669878324511,0.105939414567733,0.466303607896528
"prevalence_ge_10pct","Prevalence >=10% samples","unifrac","Unweighted UniFrac","Between participants and sites",460,0.67046206609841,0.692026186035112,0.149227812132498,0.590308989927963,0.786439906139711
"prevalence_ge_10pct","Prevalence >=10% samples","unifrac","Unweighted UniFrac","Between participants, same site",461,0.64015370108106,0.642383729057907,0.151339694402314,0.526459098024329,0.769562593403184
"prevalence_ge_10pct","Prevalence >=10% samples","unifrac","Unweighted UniFrac","Within participant, between sites",115,0.505705130368421,0.498242289309119,0.13230709572488,0.423377439261662,0.588143442570651
"prevalence_ge_10pct","Prevalence >=10% samples","unifrac","Unweighted UniFrac","Within participant/site, between systems",92,0.391611825423891,0.38244162320307,0.136942892212165,0.312570590335126,0.466713379848332
"prevalence_ge_10pct","Prevalence >=10% samples","wunifrac","Weighted UniFrac","Between participants and sites",460,0.437483388096373,0.455199203524673,0.157862826656281,0.31359095950613,0.544925475771038
"prevalence_ge_10pct","Prevalence >=10% samples","wunifrac","Weighted UniFrac","Between participants, same site",461,0.385494524932451,0.419947859867645,0.182057638022457,0.226673427767293,0.53193473248298
"prevalence_ge_10pct","Prevalence >=10% samples","wunifrac","Weighted UniFrac","Within participant, between sites",115,0.362829365067974,0.341406034288064,0.143748509737821,0.256592423271465,0.460703623402795
"prevalence_ge_10pct","Prevalence >=10% samples","wunifrac","Weighted UniFrac","Within participant/site, between systems",92,0.163859513279735,0.147797669741059,0.11341688004566,0.0851439783767168,0.201845660231914
"prevalence_ge_2","Prevalence >=2 samples","bray","Bray-Curtis","Between participants and sites",460,0.80968086838133,0.906739278420694,0.195256212959167,0.716856705241661,0.966346153846154
"prevalence_ge_2","Prevalence >=2 samples","bray","Bray-Curtis","Between participants, same site",461,0.735770271806783,0.820626276378489,0.264013697499006,0.628829135466304,0.939074200136147
"prevalence_ge_2","Prevalence >=2 samples","bray","Bray-Curtis","Within participant, between sites",115,0.695779441797141,0.72787610619469,0.218338914422617,0.55641592920354,0.894911504424779
"prevalence_ge_2","Prevalence >=2 samples","bray","Bray-Curtis","Within participant/site, between systems",92,0.350351096575606,0.356364874063989,0.226956644738089,0.10606705241661,0.518039482641253
"prevalence_ge_2","Prevalence >=2 samples","unifrac","Unweighted UniFrac","Between participants and sites",460,0.719393499637852,0.741337113448308,0.134386915793027,0.642108406634498,0.817295841034411
