"sample_name","Observed","Shannon","subject_id","site_group","swab_type2","Type","filter_id","filter"
"001AcLUSw_3",102,2.68998559094109,"S001","Antecubital","Puritan_buffer","Type 3","remove_count_le_1","Remove count <=1"
"001AcLUSw_4",101,2.54221689183902,"S001","Antecubital","Omni","Type 4","remove_count_le_1","Remove count <=1"
"001AcRUSw_1",62,1.56659740389801,"S001","Antecubital","Copan","Type 1","remove_count_le_1","Remove count <=1"
"001AcRUSw_2",80,2.62270519417367,"S001","Antecubital","Puritan_gel","Type 2","remove_count_le_1","Remove count <=1"
"001FhCUSw",15,0.152580250280511,"S001","Forehead","Eswab","Type 5","remove_count_le_1","Remove count <=1"
"001FhLUSw_3",31,0.548907717179805,"S001","Forehead","Puritan_buffer","Type 3","remove_count_le_1","Remove count <=1"
"001FhLUSw_4",22,0.624345018123569,"S001","Forehead","Omni","Type 4","remove_count_le_1","Remove count <=1"
"001FhRUSw_1",26,0.278909050975964,"S001","Forehead","Copan","Type 1","remove_count_le_1","Remove count <=1"
"001FhRUSw_2",25,0.440272460030164,"S001","Forehead","Puritan_gel","Type 2","remove_count_le_1","Remove count <=1"
"002AcCUSw",53,2.16331242960821,"S002","Antecubital","Eswab","Type 5","remove_count_le_1","Remove count <=1"
"002AcLUSw_3",130,2.2604351346395,"S002","Antecubital","Puritan_buffer","Type 3","remove_count_le_1","Remove count <=1"
"002AcLUSw_4",90,3.0377509446974,"S002","Antecubital","Omni","Type 4","remove_count_le_1","Remove count <=1"
"002AcRUSw_1",91,1.44352576245039,"S002","Antecubital","Copan","Type 1","remove_count_le_1","Remove count <=1"
"002AcRUSw_2",111,1.85580509094834,"S002","Antecubital","Puritan_gel","Type 2","remove_count_le_1","Remove count <=1"
"002FhCUSw",7,0.0647000170975489,"S002","Forehead","Eswab","Type 5","remove_count_le_1","Remove count <=1"
"002FhLUSw_3",13,0.114913755818082,"S002","Forehead","Puritan_buffer","Type 3","remove_count_le_1","Remove count <=1"
"002FhLUSw_4",10,0.0923442019220315,"S002","Forehead","Omni","Type 4","remove_count_le_1","Remove count <=1"
"002FhRUSw_1",28,0.421505454659964,"S002","Forehead","Copan","Type 1","remove_count_le_1","Remove count <=1"
"002FhRUSw_2",25,0.52492652908346,"S002","Forehead","Puritan_gel","Type 2","remove_count_le_1","Remove count <=1"
"003AcCUSw",117,3.22955724601235,"S003","Antecubital","Eswab","Type 5","remove_count_le_1","Remove count <=1"
"003AcLUSw_3",25,2.28848578242958,"S003","Antecubital","Puritan_buffer","Type 3","remove_count_le_1","Remove count <=1"
"003AcLUSw_4",132,3.72451626587269,"S003","Antecubital","Omni","Type 4","remove_count_le_1","Remove count <=1"
"003AcRUSw_1",147,3.66869309265339,"S003","Antecubital","Copan","Type 1","remove_count_le_1","Remove count <=1"
"003AcRUSw_2",15,2.19224301140388,"S003","Antecubital","Puritan_gel","Type 2","remove_count_le_1","Remove count <=1"
"003FhCUSw",26,1.39290524997002,"S003","Forehead","Eswab","Type 5","remove_count_le_1","Remove count <=1"
"003FhLUSw_3",8,0.182468881799222,"S003","Forehead","Puritan_buffer","Type 3","remove_count_le_1","Remove count <=1"
"003FhLUSw_4",27,0.984773014780224,"S003","Forehead","Omni","Type 4","remove_count_le_1","Remove count <=1"
"003FhRUSw_1",16,0.572709107323656,"S003","Forehead","Copan","Type 1","remove_count_le_1","Remove count <=1"
