"filter_id","filter","n_samples","mean_similarity","median_similarity","minimum_similarity","q25_similarity"
"mean_abundance_ge_0.1pct","Mean abundance >=0.1%",50,0.872870696969386,0.911932210517827,0.552683043167183,0.781299232450238
"mean_abundance_ge_1pct","Mean abundance >=1%",50,0.671681019753823,0.649496980482125,0.0615668285662888,0.496416932155918
"no_filter","No additional filter",50,1,1,1,1
"prevalence_ge_10pct","Prevalence >=10% samples",50,0.900349797016718,0.935230453040302,0.611320754716981,0.862576178295748
"prevalence_ge_2","Prevalence >=2 samples",50,0.966651363626075,0.979963845082812,0.781561977549558,0.958553024121162
"prevalence_ge_5","Prevalence >=5 samples",50,0.900349797016718,0.935230453040302,0.611320754716981,0.862576178295748
"remove_count_le_1","Remove count <=1",50,0.999906123690985,0.999958312831885,0.999520076787714,0.999838417929522
"remove_count_le_10","Remove count <=10",50,0.995654485973352,0.997418364322853,0.983097521602887,0.992862277803732
"remove_count_le_2","Remove count <=2",50,0.999738597608745,0.999820265943044,0.998765549330548,0.999594516104087
